Gene ID	ERR1406029	ERR1406030	ERR1406031	ERR1406032	ERR2025910	ERR2025911	ERR2025912
ENSG00000006530	6.68	4.41	4.73	4.27	4.22	3.27	4.97
ENSG00000006534	32.02	9.64	4.41	2.91	0.58	0.59	0.74
ENSG00000006555	0	0	0.75	0.56	2.28	1.96	2.61
ENSG00000006576	4.07	3.33	6.77	5.6	2.04	3.5	2.55
ENSG00000006606	3.19	2.29	0.11	0.09	0.17	0.23	0.12
ENSG00000006607	3.34	1.37	2.21	2.24	2.75	1.64	2.85
ENSG00000006611	1.87	0.98	0	0	0	0	0
ENSG00000006625	22.89	17.12	38.1	33.05	20.59	27.09	16.9
ENSG00000006634	7.78	5.29	18.4	19.42	1.67	4.44	1.96
ENSG00000006638	0.29	0.15	0.33	0.15	0.04	0.05	0
ENSG00000006652	11.08	30.71	34.9	23.25	17.4	23.58	17.3
ENSG00000006659	0	0	0	0	0	0	0
ENSG00000006695	8.36	7.33	5.93	5.7	5.87	5.2	7.36
ENSG00000006704	4.73	3.65	7.5	6.58	7.91	7.11	9.02
ENSG00000006712	34.92	33.29	25.64	23.44	25.54	15.19	22.98
ENSG00000006715	6.96	11.31	6.59	5.44	4.95	5.41	5.57
ENSG00000006740	1.24	1.24	0.25	0.13	0.44	0.35	1.17
ENSG00000006744	27.43	14.28	6.72	7.68	7.27	9.26	7.16
ENSG00000006747	0.04	0.02	0.81	0.55	0.03	0.05	0.02
ENSG00000006756	6.26	3.86	1.03	0.7	4.47	3.45	6.08
ENSG00000006757	4.35	7.88	7.95	5.88	5.63	18.9	12.25
ENSG00000006788	0	0	0	0	0	0	0
ENSG00000006831	24.52	17.17	21.75	21.85	27.23	19.17	28.72
ENSG00000006837	0.32	1.75	2.39	1.26	0.15	0.68	0.34
ENSG00000007001	0	0.02	0.01	0.01	0	0.07	0.03
ENSG00000007038	0.03	0.04	2.67	2.27	0.54	0.76	0.96
ENSG00000007047	2.28	1.77	4.54	3.85	10.57	5.37	9.22
ENSG00000007062	0.01	0.03	0.01	0.01	0.04	0.02	0.03
ENSG00000007080	24.29	25.52	26.05	27.88	48.3	28.71	49.18
ENSG00000007129	0	0	0	0	0	0	0
ENSG00000007168	32.05	26.95	22.27	21.65	20.36	19.75	23.99
ENSG00000007171	0.08	0.03	0	0	0	0	0.01
ENSG00000007174	0	0	0	0	0.01	0.07	0.02
ENSG00000007202	41.58	21	13.26	16.22	19.48	11.01	20.24
ENSG00000007216	0.02	0	0	0	0	0	0
ENSG00000007237	0.21	0.24	0.02	0.02	0.14	0.06	0.45
ENSG00000007255	12.13	26.79	14.73	8.18	6.79	24.77	10.17
ENSG00000007264	0.04	0.08	0	0	0	0.02	0
ENSG00000007306	0.08	0.07	0	0	0.37	1	1.61
ENSG00000007312	0.02	0.01	0.22	0.13	0	0.01	0
ENSG00000007314	0.05	0.05	0	0	0.07	0.01	0.09
ENSG00000007341	1.04	1.09	3.08	2.38	0.69	1.1	1.08
ENSG00000007350	0	0	0	0	0	0	0
ENSG00000007372	0.13	0.21	0.01	0	0	0	0
ENSG00000007376	10.86	7.48	4.95	4.87	6.59	7.03	6.94
ENSG00000007384	3.42	1.74	3.48	2.98	6.61	4.87	7.12
ENSG00000007392	6.29	8.23	5.3	4.81	1.99	2.56	2.54
ENSG00000007402	0.16	0.18	0.06	0.02	0.02	0.01	0
ENSG00000007516	0.08	0.07	0.1	0.05	0.15	0.05	0.15
ENSG00000007520	37.53	32.08	23.13	22.33	55.53	43.8	50.63
ENSG00000007541	6.4	3.16	3.47	2.79	3.87	2.88	4.03
ENSG00000007545	1.58	0.8	1.2	1.22	1.34	0.91	1.75
ENSG00000007866	2.72	1.93	10.33	8.99	18.16	10.85	19.06
ENSG00000007908	0	0	0	0	0	0	0
ENSG00000007923	10.12	5.49	7.29	7.63	5.55	5.86	6.42
ENSG00000007933	0.01	0.01	0.06	0.02	0.01	0.01	0.02
ENSG00000007944	1.76	2.22	2.25	1.35	2.06	1.59	3.3
ENSG00000007952	0.14	0.21	0	0	0	0	0
ENSG00000007968	1.77	0.12	4.48	2.3	0	0	0.01
ENSG00000008018	43.28	60.56	114.94	147.48	28.62	65.72	31.79
ENSG00000008056	0.05	0.04	0.42	0.22	6.85	0.67	5.29
ENSG00000008083	4.18	2.39	2.67	3.85	12.56	6.02	15.31
ENSG00000008086	3.02	1.6	0.52	0.47	1.4	0.36	1.34
ENSG00000008118	0.04	0	0	0	0	0	0
ENSG00000008128	1.03	0.68	1.37	1.4	0.97	0.66	0.99
ENSG00000008130	8.13	6.99	9.08	8.22	9.61	11.17	11.67
ENSG00000008196	0	0	0	0	0	0	0
ENSG00000008197	0	0	0	0	0	0	0
ENSG00000008226	0.01	0.03	0.01	0.01	0.02	0.03	0.02
ENSG00000008256	8.51	6.24	18.96	23.78	5.99	4	7.12
ENSG00000008277	0.07	0.09	0.3	0.23	0.01	0	0
ENSG00000008282	45.78	38.02	37.14	36.33	65.73	72.97	76.53
ENSG00000008283	7.33	4.73	6.73	5.89	8.41	5.09	10.59
ENSG00000008294	14.65	7.08	8.18	9.27	10.91	5.52	11
ENSG00000008300	0.91	0.56	0.82	0.76	0.2	0.11	0.27
ENSG00000008311	0.02	0.03	5.14	4.92	1.26	1.27	1.03
ENSG00000008323	0.08	0.03	1.62	0.97	4.57	4.23	6.38
ENSG00000008324	6.39	12.98	49.6	48.12	9.53	22.05	9.69
ENSG00000008382	3.43	2.44	3.65	3.31	2.56	2.99	2.83
ENSG00000008394	66.96	100.58	37.22	57.52	32.93	85.87	40.6
ENSG00000008405	5.13	7.63	9.65	7.69	5.51	4.5	6.44
ENSG00000008438	0	0	0	0	0	0	0
ENSG00000008441	1.48	1.14	3.79	3.38	5.15	4.93	6.15
ENSG00000008513	2.19	1.06	0.96	1.15	10.09	2.9	5.87
ENSG00000008516	0.11	0.13	0.23	0.22	0.12	0.14	0.21
ENSG00000008517	1.23	3.73	4.14	8.2	3.51	0.29	0.68
ENSG00000008710	2.7	1.67	2.55	2.35	7.4	1.98	8.66
ENSG00000008735	0.94	0.74	0.24	0.1	0.21	0.11	0.35
ENSG00000008838	9.39	5.82	5.8	6.91	5.4	3.75	5.01
ENSG00000008853	7.22	6.08	5.35	5.02	2	2.45	3.22
ENSG00000008869	4.3	3.36	2.93	3.06	2.74	2	3.12
ENSG00000008952	21.49	18.82	9.47	9.49	15.54	13.43	17.32
ENSG00000008988	166.83	378.99	707.76	660.05	211.72	585.68	204.32
ENSG00000009307	76.92	59.81	99.23	99.16	160.15	118.9	154.21
ENSG00000009335	21.21	16.21	11.27	12.22	14.61	17.14	15.82
ENSG00000009413	2.09	1.16	2.83	2.67	2.19	1.61	2.75
ENSG00000009694	0	0.01	0	0	0.01	0	0.01
ENSG00000009709	0.25	0.18	0	0	0.01	0	0.01
ENSG00000009724	0	0.02	0	0	0	0	0
ENSG00000009765	0.04	0.04	0.01	0	0	0.01	0.01
ENSG00000009780	1.33	2.21	5.58	4.78	2	4.28	1.99
ENSG00000009790	0	0	0	0	0	0	0
ENSG00000009830	4.39	2.45	1.4	1.3	1.53	1.45	1.81
ENSG00000009844	9.24	12.04	16.8	16.46	9.19	11.69	10.15
ENSG00000009950	0.25	0.26	7.57	3.52	0.1	0.05	0.1
ENSG00000009954	32.62	17.12	18.11	15.2	20.75	8.65	24.07
ENSG00000010017	10.02	6.66	23.2	17.01	32.69	24.85	33.99
ENSG00000010030	0.06	0	1.25	0.52	0.05	0.04	0.06
ENSG00000010072	3.8	3.81	3.59	3	1.67	2.13	1.79
ENSG00000010165	17.93	11.08	5.5	6.4	6.01	4.3	6.06
ENSG00000010219	2.15	3.75	3.53	2.59	2.13	2.97	1.75
ENSG00000010244	14.57	16.83	7.9	7.98	4.9	8.2	5.42
ENSG00000010256	36.34	39.61	66.57	58.72	42.28	75.3	51.05
ENSG00000010270	13.9	31.88	29.51	29.81	6.14	9.38	6.04
ENSG00000010278	20.78	41.52	150.54	140.56	64.73	191.83	69.88
ENSG00000010282	0	0.01	0.01	0	0	0	0.02
ENSG00000010292	34.19	8.36	32.59	37.22	6.46	4.2	9.21
ENSG00000010295	0.11	0.17	0.54	0.29	0.17	0.14	0.11
ENSG00000010310	0.09	0.05	0.21	0.18	0.13	0.38	0.15
ENSG00000010318	0.46	0.55	4.01	2.5	1.48	2.79	1.69
ENSG00000010319	0.14	0.01	0.1	0.03	0.09	0.07	0.14
ENSG00000010322	2.24	1.3	7.87	6.48	4.4	3.92	5.28
ENSG00000010327	0	0	0	0.01	0	0	0
ENSG00000010361	3.65	3.7	5.17	3.67	0.97	1.87	1.71
ENSG00000010379	0.06	0.03	0	0	0.01	0.01	0.01
ENSG00000010404	15.07	15.3	3.2	2.88	8.51	4.56	10.27
ENSG00000010438	1.54	1.39	5.83	3.98	6.64	13.79	10.67
ENSG00000010539	1.64	2.06	3.23	2.49	1.05	1.65	1.07
ENSG00000010610	0	0	0.01	0.01	0.09	0.01	0.03
ENSG00000010626	4.26	7.2	4.77	3.74	2.5	3.33	2.81
ENSG00000010671	0.03	0.05	0.01	0	0.02	0.01	0.02
ENSG00000010704	5.02	5.83	6.5	4.16	0.93	1.38	0.88
ENSG00000010803	3.22	2.9	6.71	4.38	3.44	2.43	4.11
ENSG00000010810	0.77	1.06	3.48	2.66	14.84	5.18	12.93
ENSG00000010818	1.55	1.24	2.47	3.12	8.48	1.81	7.4
ENSG00000010932	0	0	0	0	0.01	0.01	0
ENSG00000011007	8.82	7.68	10.92	10.64	14.37	9.34	16.44
ENSG00000011009	15.23	9.47	12.31	15.77	16.43	15.76	16.55
ENSG00000011021	1.61	1.62	3.45	5.13	2.6	1.06	1.7
ENSG00000011028	21.34	10.26	10.34	7.5	7.69	3.37	2.66
ENSG00000011052	0.47	1.61	2.31	2.4	0.76	2.82	0.37
ENSG00000011083	0	0	0	0	0	0	0
ENSG00000011105	3.91	3.68	3.2	2.82	3.32	2.05	3.07
ENSG00000011114	4.53	2.44	2.57	2.62	5.95	2.42	4.89
ENSG00000011132	1.57	1.56	3.89	2.63	3.44	2.47	3.13
ENSG00000011143	2.9	2.6	5.33	4.05	1.16	1.94	1.58
ENSG00000011198	4.07	5.59	8.06	9.2	11.98	12.54	13.31
ENSG00000011201	0.02	0.03	0.29	0.18	0.44	0.15	0.2
ENSG00000011243	5.61	5.62	6.77	6.08	12.35	8.47	13.36
ENSG00000011258	1.91	1.61	2.54	2.54	1.19	1.48	1.73
ENSG00000011260	35.44	41.86	38.7	37.35	10.33	17.66	10.07
ENSG00000011275	9.96	6.85	6.28	4.85	4.8	4.16	5.24
ENSG00000011295	9.41	11.69	9.21	7.17	5.09	9.97	5.71
ENSG00000011304	58.24	28.55	37.49	41.08	65.99	21.93	62.62
ENSG00000011332	0.87	0.46	1.07	0.76	0.02	0.01	0.02
ENSG00000011347	0.3	0.15	0.4	0.14	21.83	2.47	11.33
ENSG00000011376	6	3.81	5.83	6.92	5.94	2.58	6.49
ENSG00000011405	11.25	6.75	8.29	9.74	10.39	5.8	11.26
ENSG00000011422	4.83	6.97	2.55	3.28	12.47	2.68	4.9
ENSG00000011426	29.57	5.6	31.91	47.92	0.44	0.23	1.15
ENSG00000011451	6.18	4.01	3.46	3.4	11.73	5.99	11.68
ENSG00000011454	6.66	8.23	10.4	7.34	15.26	6.98	13.55
ENSG00000011465	0	0	0.01	0.01	0.02	0.01	0.01
ENSG00000011478	4.32	6.65	11.17	13.6	8.44	9.56	4.75
ENSG00000011485	11.7	6.86	9.8	9.92	5.04	4.8	5.57
ENSG00000011523	2.96	2.18	1.78	1.38	1.2	1.56	1.53
ENSG00000011566	8.3	8.92	6.18	5.59	7.37	6.16	7.38
ENSG00000011590	0	0	0	0	0	0	0.01
ENSG00000011600	0.04	0	0	0	0	0	0
ENSG00000011638	4.74	9.88	7.49	5.77	18.05	28.84	18.83
ENSG00000011677	0.17	0.43	0	0	0.02	0.02	0.05
ENSG00000012048	7.96	2.07	14.59	11.66	0.4	0.21	0.47
ENSG00000012061	12.91	15.67	12.04	12.75	10.96	7.84	11.21
ENSG00000012124	0.1	0.03	0.01	0	0.02	0.01	0.01
ENSG00000012171	2.34	1.8	2.43	2.09	2.17	0.63	0.82
ENSG00000012174	12.43	8.19	3.62	2.66	3.11	2.68	3.37
ENSG00000012211	4.77	3.53	3	2.88	8.33	9.7	8.47
ENSG00000012223	0	0	0.01	0	0.02	0.01	0.01
ENSG00000012232	4.25	2.25	2.68	2.86	8.81	3.52	9.32
ENSG00000012504	0.4	1.35	0	0	0	0	0
ENSG00000012660	53.3	28.61	55.3	62.37	25.83	30.46	28.3
ENSG00000012779	0.08	0.05	0.1	0.05	0.08	0.04	0.14
ENSG00000012817	1.93	1.5	2.56	2.4	2.08	0	0
ENSG00000012822	1.85	3.49	4.88	3.53	5.12	3.46	5.39
ENSG00000012963	11.3	6.81	28.31	21.08	2.81	5.48	4.63
ENSG00000012983	7.12	5.25	5.08	4.94	6.62	4.61	7.96
ENSG00000013016	6.25	5.37	0.77	0.63	0.6	0.42	1.14
ENSG00000013275	98.66	80.62	32.53	40.19	20.14	26.63	22.12
ENSG00000013288	4.91	1.9	3.14	2.58	5.78	2.08	4.85
ENSG00000013293	0	0	0	0.01	0	0	0
ENSG00000013297	0.06	0.06	4.41	7.11	0.08	0.02	0.05
ENSG00000013306	39.31	34.59	24.44	25.06	42.75	47.83	37.15
ENSG00000013364	30.69	14.71	9.27	12.28	24.28	8.62	20.67
ENSG00000013374	14.4	15.83	14.31	12.72	8.91	10.53	10.14
ENSG00000013375	5.21	8.51	11.28	10.17	13.44	11.31	12.87
ENSG00000013392	1.06	3.25	10.33	6.1	2.29	3.91	2.46
ENSG00000013441	6.33	11.87	13.3	12.19	7.52	13.86	8.72
ENSG00000013503	3.96	3.01	3.39	3.32	2.99	3.66	3.56
ENSG00000013523	4.04	3.84	2.99	2.32	2.77	3.09	3.07
ENSG00000013561	13.46	27.22	35.04	24.22	7.93	23.74	8.53
ENSG00000013563	6.04	4.93	9.24	9.57	8.94	5.94	12.68
ENSG00000013573	3.79	2.29	5.65	5.41	0.53	1.59	1.28
ENSG00000013583	9.53	15.15	15.96	14.31	6.93	9.05	6.04
ENSG00000013588	44.53	23.37	1.6	2.52	14.17	5.35	17.21
ENSG00000013619	1.08	1.24	1.69	1.74	0.37	0.24	0.36
ENSG00000013725	0.01	0.02	0.02	0.01	0	0	0
ENSG00000013810	12.21	1.75	10.5	12.72	0.44	0.16	0.55
ENSG00000014123	6.4	6.16	12.41	9.43	11.29	13.72	13.68
ENSG00000014138	7.36	1.47	13.23	10.27	0.38	0.59	0.51
ENSG00000014164	7.9	5.57	6.97	5.88	10.76	4.78	8.8
ENSG00000014216	23.23	14.67	19.48	18.76	50.1	41.43	49.44
ENSG00000014257	0.03	0.01	0.25	0.08	0.25	0.51	1.27
ENSG00000014641	44.26	77.01	111.48	103.23	13.92	48.65	15.22
ENSG00000014824	7.27	8.68	18.29	16.94	11.17	15.4	11.31
ENSG00000014914	2.32	1.3	2.59	2.2	0.88	0.79	0.86
ENSG00000014919	23.11	23.28	15.38	13.61	9.71	11.84	11.36
ENSG00000015133	0.76	0.6	1.25	0.99	2.51	2.23	2.17
ENSG00000015153	2.12	5.09	3.88	3.02	1.2	1.8	1.22
ENSG00000015171	18.6	16.25	11.02	9.32	18.59	11.09	19.66
ENSG00000015285	0.12	0.13	0.09	0.06	0.06	0.13	0.07
ENSG00000015413	0.77	0.13	0.05	0.07	0.01	0	0
ENSG00000015475	10.22	8.27	5.87	5.98	2.96	5.21	2.23
ENSG00000015479	0.3	0.15	0.3	0.35	0.16	0.18	0.17
ENSG00000015520	0.03	0.06	0	0.01	0.03	0.03	0.06
ENSG00000015532	6.82	5.11	8.42	7.64	7.31	6.56	6.46
ENSG00000015568	0.02	0.03	0.02	0.01	0.02	0.01	0.02
ENSG00000015592	0	0	0.01	0	0	0	0.01
ENSG00000015676	6.23	6.84	7.51	7.06	5	8.05	5.15
ENSG00000016082	0	0.01	0.06	0.1	1.22	0.88	1.23
ENSG00000016391	1.3	0.78	0.1	0.05	0.02	0.03	0.03
ENSG00000016402	0.01	0.01	0.48	0.2	1.6	4.42	3.81
ENSG00000016490	0	0	0	0	0.03	0.03	0.07
ENSG00000016602	0	0	0.01	0	2.71	6.56	6.02
ENSG00000016864	6.12	9.23	15.28	13.66	10.62	11.8	10.61
ENSG00000017260	13.71	10.72	10.43	10.06	16.9	12.14	16.43
ENSG00000017427	0.02	0.01	0	0	0	0	0
ENSG00000017483	0.04	0.06	5.74	9.16	25.12	40.41	17.44
ENSG00000017797	15.77	11.2	14.85	14.79	22.77	14.99	24.27
ENSG00000018189	1.13	0.75	1.64	1.5	3.05	2.57	3.27
ENSG00000018236	39.32	19.95	0.12	0.07	0.02	0.77	4.67
ENSG00000018280	0.06	0.06	0.04	0.02	0.03	0.05	0.06
ENSG00000018408	24.35	15.69	4.77	4.33	3.59	2.78	4.27
ENSG00000018510	18.91	9.86	7.73	9.23	7.19	6.36	6.9
ENSG00000018607	0.04	0.08	0.03	0.01	0	0	0
ENSG00000018610	10.51	12.43	9.02	9.85	6.92	9.39	6.9
ENSG00000018625	0.08	0.06	0.01	0.01	0	0.02	0.01
ENSG00000018699	17.51	17.28	10.34	8.94	6.48	10.14	6.91
ENSG00000018869	0.26	0.91	0.97	0.74	0.45	1	0.65
ENSG00000019102	0.02	0.03	0	0	0.66	0.34	0.69
ENSG00000019144	1.17	0.32	3.33	3.16	1.03	0.72	0.59
ENSG00000019169	0.04	0.11	0.1	0.03	0.17	0.01	0.08
ENSG00000019186	185.57	164.23	0.08	0.21	0.27	0.12	0.12
ENSG00000019485	1.29	0.94	0.33	0.28	0.86	0.59	0.99
ENSG00000019505	11.25	6.27	0.06	0.04	0	0	0
ENSG00000019549	0.52	1.5	6.08	7.04	16.17	30.24	19.35
ENSG00000019582	0.03	0.01	16.49	13.86	2.94	0.82	1.42
ENSG00000019991	0.01	0.01	0	0	0	0	0
