# Expression Atlas
# Query: Genes matching: 'default query', specifically expressed above the expression level cutoff: 0 FPKM in experiment E-MTAB-4729
# Selected columns: 3 (all)
# Timestamp: Tue, 15-Aug-2017 15:31:12
Gene ID	Gene Name	A549	BEAS-2B	NHBE
ENSG00000006282	SPATA20	17.0	3.0	6.0
ENSG00000006283	CACNA1G	2.0		
ENSG00000006327	TNFRSF12A	114.0	54.0	105.0
ENSG00000006432	MAP3K9	2.0	1.0	4.0
ENSG00000006451	RALA	11.0	26.0	25.0
ENSG00000006453	BAIAP2L1	21.0	9.0	28.0
ENSG00000006459	KDM7A	1.0	1.0	7.0
ENSG00000006468	ETV1	0.3	0.5	
ENSG00000006530	AGK	6.0	5.0	4.0
ENSG00000006534	ALDH3B1	22.0	4.0	0.6
ENSG00000006555	TTC22		0.7	2.0
ENSG00000006576	PHTF2	4.0	6.0	2.0
ENSG00000006606	CCL26	3.0	0.1	0.2
ENSG00000006607	FARP2	2.0	2.0	3.0
ENSG00000006611	USH1C	1.0		
ENSG00000006625	GGCT	20.0	36.0	21.0
ENSG00000006634	DBF4	7.0	19.0	2.0
ENSG00000006638	TBXA2R	0.2	0.2	
ENSG00000006652	IFRD1	20.0	29.0	17.0
ENSG00000006695	COX10	8.0	6.0	6.0
ENSG00000006704	GTF2IRD1	4.0	7.0	8.0
ENSG00000006712	PAF1	34.0	25.0	23.0
ENSG00000006715	VPS41	9.0	6.0	5.0
ENSG00000006740	ARHGAP44	1.0	0.2	0.5
ENSG00000006744	ELAC2	21.0	7.0	7.0
ENSG00000006747	SCIN		0.7	
ENSG00000006756	ARSD	5.0	0.9	4.0
ENSG00000006757	PNPLA4	6.0	7.0	12.0
ENSG00000006831	ADIPOR2	21.0	22.0	27.0
ENSG00000006837	CDKL3	1.0	2.0	0.3
ENSG00000007038	PRSS21		2.0	0.8
ENSG00000007047	MARK4	2.0	4.0	9.0
ENSG00000007080	CCDC124	25.0	27.0	48.0
ENSG00000007168	PAFAH1B1	30.0	22.0	20.0
ENSG00000007171	NOS2	0.1		
ENSG00000007202	KIAA0100	33.0	15.0	19.0
ENSG00000007237	GAS7	0.2		0.2
ENSG00000007255	TRAPPC6A	19.0	11.0	10.0
ENSG00000007264	MATK	0.1		
ENSG00000007306	CEACAM7	0.1		1.0
ENSG00000007312	CD79B		0.2	
ENSG00000007314	SCN4A	0.1		0.1
ENSG00000007341	ST7L	1.0	3.0	1.0
ENSG00000007372	PAX6	0.2		
ENSG00000007376	RPUSD1	9.0	5.0	7.0
ENSG00000007384	RHBDF1	3.0	3.0	7.0
ENSG00000007392	LUC7L	7.0	5.0	2.0
ENSG00000007402	CACNA2D2	0.2		
ENSG00000007516	BAIAP3	0.1	0.1	0.1
ENSG00000007520	TSR3	35.0	23.0	52.0
ENSG00000007541	PIGQ	5.0	3.0	4.0
ENSG00000007545	CRAMP1	1.0	1.0	1.0
ENSG00000007866	TEAD3	2.0	10.0	18.0
ENSG00000007923	DNAJC11	8.0	7.0	6.0
ENSG00000007944	MYLIP	2.0	2.0	2.0
ENSG00000007952	NOX1	0.2		
ENSG00000007968	E2F2	0.9	3.0	
ENSG00000008018	PSMB1	52.0	131.0	32.0
ENSG00000008056	SYN1		0.3	5.0
ENSG00000008083	JARID2	3.0	3.0	12.0
ENSG00000008086	CDKL5	2.0	0.5	1.0
ENSG00000008128	CDK11A	0.9	1.0	0.9
ENSG00000008130	NADK	8.0	9.0	11.0
ENSG00000008256	CYTH3	7.0	21.0	6.0
ENSG00000008277	ADAM22	0.1	0.3	
ENSG00000008282	SYPL1	43.0	37.0	71.0
ENSG00000008283	CYB561	6.0	6.0	8.0
ENSG00000008294	SPAG9	11.0	9.0	10.0
ENSG00000008300	CELSR3	0.7	0.8	0.2
ENSG00000008311	AASS		5.0	1.0
ENSG00000008323	PLEKHG6	0.1	1.0	5.0
ENSG00000008324	SS18L2	10.0	49.0	9.0
ENSG00000008382	MPND	3.0	3.0	3.0
ENSG00000008394	MGST1	83.0	47.0	41.0
ENSG00000008405	CRY1	6.0	9.0	5.0
ENSG00000008441	NFIX	1.0	4.0	5.0
ENSG00000008513	ST3GAL1	2.0	1.0	5.0
ENSG00000008516	MMP25	0.1	0.2	0.1
ENSG00000008517	IL32	3.0	6.0	0.6
ENSG00000008710	PKD1	2.0	2.0	7.0
ENSG00000008735	MAPK8IP2	0.8	0.2	0.2
ENSG00000008838	MED24	8.0	6.0	5.0
ENSG00000008853	RHOBTB2	7.0	5.0	3.0
ENSG00000008869	HEATR5B	4.0	3.0	3.0
ENSG00000008952	SEC62	20.0	10.0	15.0
ENSG00000008988	RPS20	257.0	688.0	226.0
ENSG00000009307	CSDE1	71.0	99.0	164.0
ENSG00000009335	UBE3C	19.0	12.0	15.0
ENSG00000009413	REV3L	2.0	3.0	2.0
ENSG00000009709	PAX7	0.2		
ENSG00000009780	FAM76A	2.0	5.0	2.0
ENSG00000009830	POMT2	3.0	1.0	2.0
ENSG00000009844	VTA1	11.0	17.0	10.0
ENSG00000009950	MLXIPL	0.3	5.0	0.1
ENSG00000009954	BAZ1B	26.0	17.0	21.0
ENSG00000010017	RANBP9	8.0	20.0	33.0
ENSG00000010030	ETV7		0.9	0.1
ENSG00000010072	SPRTN	4.0	3.0	2.0
ENSG00000010165	METTL13	15.0	6.0	6.0
ENSG00000010219	DYRK4	3.0	3.0	2.0
ENSG00000010244	ZNF207	16.0	8.0	5.0
ENSG00000010256	UQCRC1	38.0	63.0	52.0
ENSG00000010270	STARD3NL	22.0	30.0	6.0
ENSG00000010278	CD9	30.0	147.0	71.0
ENSG00000010292	NCAPD2	22.0	35.0	6.0
ENSG00000010295	IFFO1	0.1	0.4	0.1
ENSG00000010310	GIPR	0.1	0.2	0.1
ENSG00000010318	PHF7	0.5	3.0	2.0
ENSG00000010319	SEMA3G	0.1	0.1	0.1
ENSG00000010322	NISCH	2.0	7.0	4.0
ENSG00000010361	FUZ	4.0	4.0	2.0
ENSG00000010404	IDS	15.0	3.0	9.0
ENSG00000010438	PRSS3	1.0	5.0	10.0
ENSG00000010539	ZNF200	2.0	3.0	1.0
ENSG00000010626	LRRC23	6.0	4.0	3.0
ENSG00000010704	HFE	5.0	5.0	1.0
ENSG00000010803	SCMH1	3.0	6.0	3.0
ENSG00000010810	FYN	0.9	3.0	12.0
ENSG00000010818	HIVEP2	1.0	3.0	7.0
ENSG00000011007	ELOA	8.0	11.0	14.0
ENSG00000011009	LYPLA2	12.0	14.0	16.0
ENSG00000011021	CLCN6	2.0	4.0	2.0
ENSG00000011028	MRC2	16.0	9.0	4.0
ENSG00000011052	NME1-NME2	1.0	2.0	0.8
ENSG00000011105	TSPAN9	4.0	3.0	3.0
ENSG00000011114	BTBD7	3.0	3.0	5.0
ENSG00000011132	APBA3	2.0	3.0	3.0
ENSG00000011143	MKS1	3.0	5.0	1.0
ENSG00000011198	ABHD5	5.0	9.0	13.0
ENSG00000011201	ANOS1		0.2	0.2
ENSG00000011243	AKAP8L	6.0	6.0	12.0
ENSG00000011258	MBTD1	2.0	3.0	2.0
ENSG00000011260	UTP18	38.0	38.0	10.0
ENSG00000011275	RNF216	8.0	6.0	5.0
ENSG00000011295	TTC19	11.0	8.0	5.0
ENSG00000011304	PTBP1	45.0	39.0	64.0
ENSG00000011332	DPF1	0.7	0.9	
ENSG00000011347	SYT7	0.2	0.3	11.0
ENSG00000011376	LARS2	5.0	6.0	6.0
ENSG00000011405	PIK3C2A	9.0	9.0	10.0
ENSG00000011422	PLAUR	6.0	3.0	5.0
ENSG00000011426	ANLN	18.0	40.0	0.5
ENSG00000011451	WIZ	5.0	3.0	11.0
ENSG00000011454	RABGAP1	7.0	9.0	13.0
ENSG00000011478	QPCTL	6.0	12.0	8.0
ENSG00000011485	PPP5C	9.0	10.0	5.0
ENSG00000011523	CEP68	3.0	2.0	1.0
ENSG00000011566	MAP4K3	9.0	6.0	7.0
ENSG00000011638	TMEM159	7.0	7.0	19.0
ENSG00000011677	GABRA3	0.3		
ENSG00000012048	BRCA1	5.0	13.0	0.4
ENSG00000012061	ERCC1	14.0	12.0	11.0
ENSG00000012124	CD22	0.1		
ENSG00000012171	SEMA3B	2.0	2.0	0.7
ENSG00000012174	MBTPS2	10.0	3.0	3.0
ENSG00000012211	PRICKLE3	4.0	3.0	8.0
ENSG00000012232	EXTL3	3.0	3.0	9.0
ENSG00000012504	NR1H4	0.9		
ENSG00000012660	ELOVL5	42.0	59.0	28.0
ENSG00000012779	ALOX5	0.1	0.1	0.1
ENSG00000012817	KDM5D	2.0	2.0	
ENSG00000012822	CALCOCO1	3.0	4.0	5.0
ENSG00000012963	UBR7	9.0	25.0	4.0
ENSG00000012983	MAP4K5	6.0	5.0	7.0
ENSG00000013016	EHD3	6.0	0.7	0.7
ENSG00000013275	PSMC4	92.0	36.0	22.0
ENSG00000013288	MAN2B2	3.0	3.0	5.0
ENSG00000013297	CLDN11	0.1	6.0	
ENSG00000013306	SLC25A39	38.0	25.0	43.0
ENSG00000013364	MVP	23.0	11.0	21.0
ENSG00000013374	NUB1	15.0	14.0	10.0
ENSG00000013375	PGM3	7.0	11.0	12.0
ENSG00000013392	RWDD2A	2.0	8.0	2.0
ENSG00000013441	CLK1	9.0	13.0	8.0
ENSG00000013503	POLR3B	3.0	3.0	3.0
ENSG00000013523	ANGEL1	4.0	3.0	3.0
ENSG00000013561	RNF14	20.0	29.0	8.0
ENSG00000013563	DNASE1L1	5.0	9.0	9.0
ENSG00000013573	DDX11	3.0	6.0	1.0
ENSG00000013583	HEBP1	12.0	15.0	7.0
ENSG00000013588	GPRC5A	35.0	2.0	14.0
ENSG00000013619	MAMLD1	1.0	2.0	0.3
ENSG00000013810	TACC3	7.0	12.0	0.5
ENSG00000014123	UFL1	6.0	11.0	13.0
ENSG00000014138	POLA2	4.0	12.0	0.5
ENSG00000014164	ZC3H3	7.0	6.0	8.0
ENSG00000014216	CAPN1	19.0	19.0	50.0
ENSG00000014257	ACPP		0.2	0.5
ENSG00000014641	MDH1	59.0	107.0	15.0
ENSG00000014824	SLC30A9	8.0	18.0	11.0
ENSG00000014914	MTMR11	2.0	2.0	0.8
ENSG00000014919	COX15	23.0	15.0	11.0
ENSG00000015133	CCDC88C	0.7	1.0	2.0
ENSG00000015153	YAF2	4.0	3.0	1.0
ENSG00000015171	ZMYND11	18.0	10.0	18.0
ENSG00000015285	WAS	0.1	0.1	0.1
ENSG00000015413	DPEP1	0.5	0.1	
ENSG00000015475	BID	9.0	6.0	3.0
ENSG00000015479	MATR3	0.2	0.3	0.2
ENSG00000015532	XYLT2	6.0	8.0	7.0
ENSG00000015676	NUDCD3	7.0	7.0	5.0
ENSG00000016082	ISL1		0.1	1.0
ENSG00000016391	CHDH	1.0	0.1	
ENSG00000016402	IL20RA		0.3	4.0
ENSG00000016602	CLCA4			6.0
ENSG00000016864	GLT8D1	8.0	14.0	11.0
ENSG00000017260	ATP2C1	12.0	10.0	16.0
ENSG00000017483	SLC38A5	0.1	8.0	25.0
ENSG00000017797	RALBP1	14.0	15.0	23.0
ENSG00000018189	RUFY3	0.9	2.0	3.0
ENSG00000018236	CNTN1	31.0	0.1	0.8
ENSG00000018280	SLC11A1	0.1		0.1
ENSG00000018408	WWTR1	20.0	5.0	4.0
ENSG00000018510	AGPS	15.0	9.0	7.0
ENSG00000018607	ZNF806	0.1		
ENSG00000018610	CXorf56	11.0	9.0	7.0
ENSG00000018625	ATP1A2	0.1		
ENSG00000018699	TTC27	17.0	10.0	6.0
ENSG00000018869	ZNF582	0.6	0.9	0.6
ENSG00000019102	VSIG2			0.6
ENSG00000019144	PHLDB1	0.7	3.0	0.7
ENSG00000019169	MARCO	0.1	0.1	0.1
ENSG00000019186	CYP24A1	185.0	0.2	0.1
ENSG00000019485	PRDM11	1.0	0.3	0.9
ENSG00000019505	SYT13	9.0	0.1	
ENSG00000019549	SNAI2	1.0	7.0	19.0
ENSG00000019582	CD74		15.0	1.0
ENSG00000019995	ZRANB1	6.0	6.0	10.0
ENSG00000020129	NCDN	4.0	4.0	5.0
ENSG00000020181	ADGRA2	0.7	1.0	0.1
ENSG00000020256	ZFP64	4.0	3.0	6.0
ENSG00000020426	MNAT1	11.0	35.0	9.0
ENSG00000020577	SAMD4A	1.0	2.0	3.0
ENSG00000020633	RUNX3	2.0	1.0	0.5
ENSG00000020922	MRE11	4.0	7.0	1.0
ENSG00000021300	PLEKHB1	0.3	0.5	
ENSG00000021355	SERPINB1	45.0	16.0	40.0
ENSG00000021488	SLC7A9	0.1		
ENSG00000021574	SPAST	12.0	5.0	6.0
ENSG00000021645	NRXN3	0.2		
ENSG00000021762	OSBPL5	0.7	4.0	3.0
ENSG00000021776	AQR	9.0	4.0	4.0
ENSG00000021826	CPS1	9.0	3.0	1.0
ENSG00000022267	FHL1	7.0	12.0	12.0
ENSG00000022277	RTFDC1	23.0	32.0	20.0
ENSG00000022556	NLRP2	9.0	4.0	1.0
ENSG00000022567	SLC45A4	6.0	2.0	2.0
ENSG00000022840	RNF10	27.0	19.0	50.0
ENSG00000022976	ZNF839	1.0	2.0	2.0
ENSG00000023041	ZDHHC6	18.0	24.0	6.0
ENSG00000023171	GRAMD1B	13.0	0.6	0.1
ENSG00000023191	RNH1	22.0	13.0	51.0
ENSG00000023228	NDUFS1	11.0	11.0	4.0
ENSG00000023287	RB1CC1	11.0	10.0	12.0
ENSG00000023318	ERP44	15.0	34.0	30.0
ENSG00000023330	ALAS1	25.0	16.0	32.0
ENSG00000023445	BIRC3	5.0	9.0	0.6
ENSG00000023516	AKAP11	6.0	6.0	7.0
ENSG00000023572	GLRX2	23.0	26.0	7.0
ENSG00000023608	SNAPC1	16.0	25.0	5.0
ENSG00000023697	DERA	18.0	30.0	18.0
ENSG00000023734	STRAP	151.0	144.0	98.0
ENSG00000023839	ABCC2	72.0	0.1	0.1
ENSG00000023892	DEF6	0.1	3.0	8.0
ENSG00000023902	PLEKHO1	0.7	2.0	0.7
ENSG00000023909	GCLM	41.0	6.0	8.0
ENSG00000024048	UBR2	4.0	4.0	6.0
ENSG00000024422	EHD2	44.0	26.0	95.0
ENSG00000024526	DEPDC1	7.0	25.0	0.4
ENSG00000024862	CCDC28A	7.0	22.0	8.0
ENSG00000025039	RRAGD	1.0	3.0	2.0
ENSG00000025156	HSF2	6.0	22.0	5.0
ENSG00000025293	PHF20	6.0	10.0	6.0
ENSG00000025423	HSD17B6	1.0	0.5	
ENSG00000025434	NR1H3	3.0	4.0	1.0
ENSG00000025708	TYMP	3.0	2.0	13.0
ENSG00000025770	NCAPH2	7.0	22.0	6.0
ENSG00000025772	TOMM34	18.0	22.0	17.0
ENSG00000025796	SEC63	10.0	10.0	27.0
ENSG00000025800	KPNA6	9.0	8.0	15.0
ENSG00000026025	VIM	161.0	93.0	19.0
ENSG00000026036	RTEL1-TNFRSF6B	0.1	0.3	
ENSG00000026103	FAS	19.0	19.0	7.0
ENSG00000026297	RNASET2	0.9	0.5	0.7
ENSG00000026508	CD44	61.0	11.0	57.0
ENSG00000026559	KCNG1	5.0	1.0	16.0
ENSG00000026652	AGPAT4	0.5	1.0	0.7
ENSG00000026751	SLAMF7	2.0		3.0
ENSG00000026950	BTN3A1	2.0	6.0	0.7
ENSG00000027001	MIPEP	10.0	11.0	4.0
ENSG00000027075	PRKCH	2.0	2.0	3.0
ENSG00000027697	IFNGR1	39.0	61.0	40.0
ENSG00000027847	B4GALT7	4.0	5.0	5.0
ENSG00000027869	SH2D2A	2.0	0.1	3.0
ENSG00000028116	VRK2	25.0	14.0	28.0
ENSG00000028137	TNFRSF1B		0.1	
ENSG00000028203	VEZT	18.0	7.0	9.0
ENSG00000028277	POU2F2		0.1	0.7
ENSG00000028310	BRD9	2.0	4.0	1.0
ENSG00000028528	SNX1	11.0	10.0	7.0
ENSG00000028839	TBPL1	4.0	8.0	4.0
ENSG00000029153	ARNTL2	7.0	9.0	25.0
ENSG00000029363	BCLAF1	13.0	10.0	7.0
ENSG00000029364	SLC39A9	19.0	11.0	11.0
ENSG00000029534	ANK1	0.6	0.2	
ENSG00000029639	TFB1M	4.0	22.0	3.0
ENSG00000029725	RABEP1	14.0	11.0	9.0
ENSG00000029993	HMGB3	28.0	23.0	34.0
ENSG00000030066	NUP160	14.0	10.0	6.0
ENSG00000030110	BAK1	12.0	25.0	30.0
ENSG00000030419	IKZF2		0.5	0.7
ENSG00000030582	GRN	52.0	52.0	181.0
ENSG00000031003	FAM13B	5.0	4.0	1.0
ENSG00000031081	ARHGAP31	0.3	0.3	0.2
ENSG00000031691	CENPQ	6.0	59.0	2.0
ENSG00000031698	SARS	47.0	135.0	99.0
ENSG00000031823	RANBP3	5.0	6.0	6.0
ENSG00000032219	ARID4A	2.0	1.0	1.0
ENSG00000032389	TSSC1	8.0	4.0	3.0
ENSG00000032444	PNPLA6	6.0	6.0	6.0
ENSG00000032742	IFT88	4.0	2.0	1.0
ENSG00000033011	ALG1	11.0	5.0	3.0
ENSG00000033030	ZCCHC8	6.0	6.0	4.0
ENSG00000033050	ABCF2	33.0	15.0	19.0
ENSG00000033100	CHPF2	14.0	4.0	12.0
ENSG00000033170	FUT8	7.0	7.0	3.0
ENSG00000033178	UBA6	6.0	8.0	7.0
ENSG00000033327	GAB2	1.0	0.8	4.0
ENSG00000033627	ATP6V0A1	4.0	3.0	3.0
ENSG00000033800	PIAS1	4.0	4.0	4.0
ENSG00000033867	SLC4A7	9.0	4.0	9.0
ENSG00000034053	APBA2	3.0	1.0	1.0
ENSG00000034152	MAP2K3	12.0	6.0	6.0
ENSG00000034239	EFCAB1		1.0	0.2
ENSG00000034510	TMSB10	4328.0	8339.0	4529.0
ENSG00000034533	ASTE1	2.0	4.0	2.0
ENSG00000034677	RNF19A	12.0	6.0	8.0
ENSG00000034693	PEX3	7.0	23.0	5.0
ENSG00000034713	GABARAPL2	28.0	44.0	18.0
ENSG00000035115	SH3YL1	1.0	4.0	4.0
ENSG00000035141	FAM136A	33.0	14.0	6.0
ENSG00000035403	VCL	36.0	14.0	18.0
ENSG00000035499	DEPDC1B	5.0	20.0	1.0
ENSG00000035664	DAPK2	0.2	0.2	0.1
ENSG00000035681	NSMAF	10.0	7.0	13.0
ENSG00000035687	ADSS	18.0	17.0	13.0
ENSG00000035862	TIMP2	83.0	43.0	2.0
ENSG00000035928	RFC1	8.0	19.0	14.0
ENSG00000036054	TBC1D23	7.0	9.0	12.0
ENSG00000036257	CUL3	11.0	5.0	10.0
ENSG00000036448	MYOM2	0.8		
ENSG00000036549	ZZZ3	6.0	9.0	6.0
ENSG00000036672	USP2	0.3	2.0	0.4
ENSG00000037042	TUBG2	4.0	6.0	3.0
ENSG00000037241	RPL26L1	72.0	154.0	22.0
ENSG00000037280	FLT4	0.4		
ENSG00000037474	NSUN2	23.0	11.0	13.0
ENSG00000037637	FBXO42	2.0	3.0	6.0
ENSG00000037749	MFAP3	8.0	10.0	8.0
ENSG00000037757	MRI1	4.0	7.0	6.0
ENSG00000037897	METTL1	9.0	4.0	2.0
ENSG00000037965	HOXC8	4.0		
ENSG00000038002	AGA	11.0	7.0	14.0
ENSG00000038210	PI4K2B	1.0	4.0	3.0
ENSG00000038219	BOD1L1	3.0	3.0	4.0
ENSG00000038274	MAT2B	19.0	64.0	11.0
ENSG00000038295	TLL1		0.1	
ENSG00000038358	EDC4	6.0	6.0	6.0
ENSG00000038382	TRIO	5.0	6.0	4.0
ENSG00000038427	VCAN	10.0	2.0	1.0
ENSG00000038532	CLEC16A	1.0	1.0	2.0
ENSG00000039068	CDH1	8.0	33.0	201.0
ENSG00000039123	SKIV2L2	17.0	19.0	10.0
ENSG00000039139	DNAH5	0.1	0.1	
ENSG00000039319	ZFYVE16	7.0	8.0	4.0
ENSG00000039523	RIPOR1	5.0	10.0	8.0
ENSG00000039560	RAI14	29.0	15.0	13.0
ENSG00000039600	SOX30	0.1	0.1	0.1
ENSG00000039650	PNKP	5.0	8.0	3.0
ENSG00000039987	BEST2		0.1	
ENSG00000040199	PHLPP2	2.0	2.0	0.8
ENSG00000040275	SPDL1	13.0	24.0	3.0
ENSG00000040341	STAU2	5.0	5.0	3.0
ENSG00000040487	PQLC2	5.0	7.0	7.0
ENSG00000040531	CTNS	6.0	6.0	4.0
ENSG00000040608	RTN4R	1.0	3.0	5.0
ENSG00000040633	PHF23	31.0	15.0	14.0
ENSG00000040731	CDH10	0.1	0.2	
ENSG00000040933	INPP4A	2.0	1.0	2.0
ENSG00000041353	RAB27B	12.0	3.0	22.0
ENSG00000041357	PSMA4	40.0	56.0	9.0
ENSG00000041802	LSG1	14.0	9.0	6.0
ENSG00000041880	PARP3	3.0	3.0	2.0
ENSG00000041982	TNC	0.1	5.0	65.0
ENSG00000041988	THAP3	3.0	5.0	5.0
ENSG00000042088	TDP1	2.0	5.0	2.0
ENSG00000042286	AIFM2	14.0	4.0	17.0
ENSG00000042317	SPATA7	2.0	3.0	0.9
ENSG00000042429	MED17	2.0	4.0	2.0
ENSG00000042445	RETSAT	22.0	12.0	27.0
ENSG00000042493	CAPG	18.0	57.0	127.0
ENSG00000042753	AP2S1	74.0	92.0	76.0
ENSG00000042832	TG	0.1		
ENSG00000042980	ADAM28			0.1
ENSG00000043039	BARX2		0.3	4.0
ENSG00000043093	DCUN1D1	6.0	9.0	7.0
ENSG00000043143	JADE2	5.0	4.0	4.0
ENSG00000043355	ZIC2	3.0		
ENSG00000043514	TRIT1	10.0	20.0	7.0
ENSG00000043591	ADRB1	0.4	0.1	2.0
ENSG00000044012	GUCA2B	0.1		
ENSG00000044090	CUL7	4.0	4.0	6.0
ENSG00000044115	CTNNA1	43.0	45.0	72.0
ENSG00000044446	PHKA2	2.0	3.0	2.0
