Gene ID	ERR2618735	ERR2618736	ERR2618737	ERR2618738	ERR2618739	ERR2618740	ERR2618741	ERR2618742	ERR2618743	ERR2618744	ERR2618745	ERR2618746
ENSG00000002549	62.64	60.89	72.33	65.5	37.51	32.12	26.16	25.68	27.86	27.92	19.83	20.39
ENSG00000002586	27.87	28.28	10.05	10.38	3.36	7.41	11.83	11.19	1.67	1.7	9.86	10.14
ENSG00000002587	0.03	0.01	0	0.01	0.04	0.01	0	0	0	0.01	0.89	0.9
ENSG00000002726	0.02	0.02	0.04	0.04	0.03	0.01	0.02	0	0	0	0	0
ENSG00000002745	0.01	0.04	0.02	0.05	0.08	0.04	0.03	0.01	0	0.01	4.47	4.67
ENSG00000002746	0.01	0	0	0.01	0	0	0	0	0.01	0	0.92	0.92
ENSG00000002822	4.21	4.53	3.47	3.59	8.1	5.48	3.15	3.08	5.5	5.38	7.14	6.83
ENSG00000002834	30.19	30.74	35.04	34.73	29.23	28.96	29.01	28.52	31.86	31.59	21.48	21.41
ENSG00000002919	14.24	15.38	5.23	4.84	5.56	7.87	11.9	11.97	5.39	5.45	11	11.3
ENSG00000002933	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003056	31.41	29.53	25.76	25.77	20.5	26.16	32.07	30.98	20.24	20.75	31.41	31.47
ENSG00000003096	0.24	0.24	0	0.01	0	0.01	0.01	0	0	0	0.05	0.02
ENSG00000003137	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003147	0.46	0.47	0.01	0.01	0.93	0.5	0.16	0.17	0.01	0	0.06	0.07
ENSG00000003249	2.38	2.59	0.02	0.02	1.89	1.12	0.26	0.27	1.04	1.02	0	0
ENSG00000003393	1.88	1.85	1.18	1.25	2.52	1.97	1.35	1.36	1.06	1.11	0.99	1.02
ENSG00000003400	2.74	2.64	0.2	0.24	0.32	0.18	0.04	0.01	0.05	0.05	0.09	0.06
ENSG00000003402	6.96	6.87	0.89	0.94	0.71	1.12	1.55	1.51	5.65	5.32	0.66	0.6
ENSG00000003436	0.68	0.74	0.16	0.18	0.11	0.09	0.11	0.13	0.23	0.2	0.11	0.11
ENSG00000003509	4.74	4.57	5.9	5.35	7.21	6.91	5.44	6.06	3.01	3.08	3.54	3.41
ENSG00000003756	3.24	3.3	5.85	6.33	4.29	4.58	5.58	5.37	9.22	8.94	5.28	5.11
ENSG00000003987	0.11	0.12	0.09	0.05	0.08	0.14	0.09	0.09	0.2	0.18	0.24	0.19
ENSG00000003989	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004059	34.74	36.38	49.75	47.68	53.54	41.74	35.06	34.97	57.13	59.21	76.17	76.37
ENSG00000004139	1.1	1.02	0.17	0.19	0.05	0.91	1.73	1.71	1.04	1.03	1.9	1.96
ENSG00000004142	75.59	78.38	85.81	82.42	79.08	75.44	74.97	77.51	78.87	82.58	74.38	74.04
ENSG00000004399	0.06	0.1	0.96	1.07	5.11	2.47	0.01	0.02	0.82	0.77	1.29	1.22
ENSG00000004455	53.52	53.29	49.76	47.33	68.84	66.98	64.55	62.88	30.47	30.5	42.69	44.39
ENSG00000004468	1.78	1.8	93.21	91.73	30.11	47.59	59.13	60.67	77.72	74.88	52.58	51.35
ENSG00000004478	39.59	38.24	26.75	25.37	52.65	55.79	65	65.39	15.95	15.39	61.92	62.42
ENSG00000004487	37.13	36.85	23.89	23.4	42.04	47.13	51.36	51.5	19.99	19.49	50.46	51.24
ENSG00000004534	4.61	4.23	21.62	20.38	6.28	9.98	14.73	14.58	13.83	13.07	11.62	11.53
ENSG00000004660	0.05	0.07	0.67	0.72	0.35	0.51	0.77	0.68	0.04	0.02	0.02	0.03
ENSG00000004700	22.02	20.73	18.91	16.83	16.4	17.98	17.59	17.43	13.51	13.39	31.06	31.63
ENSG00000004766	3.31	3.14	2.14	2.13	3.35	2.84	2.31	2.26	4.5	4.14	3.59	3.78
ENSG00000004776	0.12	0.11	0.22	0.32	0.18	0.27	0.32	0.22	0.45	0.34	0.06	0.06
ENSG00000004777	1.7	1.5	1.76	1.65	1.42	1.26	1.11	0.99	5.41	4.92	1.84	1.82
ENSG00000004779	54.47	56.12	47.37	46.08	65.88	53.94	47.36	48.4	46.51	47.97	50.08	51.99
ENSG00000004799	0	0	0	0	0.01	0	0	0	0	0	0	0
ENSG00000004809	0	0	0.01	0	0	0	0	0	0	0	0	0
ENSG00000004838	0.05	0.07	0.14	0.12	0.06	0.1	0.18	0.15	0.19	0.2	0.1	0.08
ENSG00000004846	0.01	0.01	0	0.02	0.01	0.01	0.01	0.03	0.01	0.01	0.01	0.01
ENSG00000004848	0.02	0.01	0	0	0.03	0.01	0	0.01	0.01	0	0.14	0.08
ENSG00000004864	9.96	9.93	9.08	9.21	19.62	15.64	10.31	11.3	8.06	8.25	6.59	6.19
ENSG00000004866	9.08	8.98	3.08	3.32	3.99	3.88	4.05	4.05	2.56	2.85	3.06	2.97
ENSG00000004897	32.91	31.76	32.94	32.62	27.39	31.46	32.25	33.03	21.27	20.85	32.84	31.87
ENSG00000004939	0.01	0.02	0.02	0.03	0.03	0.02	0.04	0.01	0.02	0.04	0.01	0.03
ENSG00000004948	0.01	0	0	0	0.01	0	0	0	0.01	0	0	0
ENSG00000004961	16.38	17.12	14.75	13.54	14.72	13.75	13.4	13.78	14.09	14.31	18.22	19.85
ENSG00000004975	4.24	4.28	12.36	12.14	6.55	9.48	13	12.83	8.83	8.81	5.97	6.22
ENSG00000005001	0	0	0	0.02	0	0	0	0	0	0	0	0
ENSG00000005007	25.08	25.14	17.84	17.8	29.33	23.78	22.57	21.99	25.51	24.14	20.9	20.46
ENSG00000005020	10.51	10.07	14.28	15.45	20.98	17.71	14.33	14.18	19.67	19.94	20.52	20.42
ENSG00000005022	359.76	365.08	570.24	562.89	319.49	376.65	443.46	443.83	240.56	249.31	552.39	559
ENSG00000005059	13.52	14.14	57.19	55.12	12.26	21.72	29.47	31.35	20.97	21.73	33.1	32.75
ENSG00000005073	0	0.01	0	0	0	0.01	0	0	0.05	0.05	0.02	0
ENSG00000005075	25.73	25.83	23.08	22.1	42.09	28.51	21.6	19.44	48.91	47.84	35.84	36.28
ENSG00000005100	11.76	11.27	16.25	14.83	9.57	15.6	21.86	22.62	7.39	7.42	9.63	9.83
ENSG00000005102	0.02	0.01	0	0	0	0	0	0	0	0	0	0
ENSG00000005108	0.3	0.25	0.36	0.45	0.28	0.17	0	0	0	0	0.02	0.02
ENSG00000005156	4.1	4.1	2.91	3.09	6.57	4.42	2.85	2.92	4.11	3.96	4.14	4.22
ENSG00000005175	12.62	11.75	16.62	15.63	14.41	13.09	12.19	11.65	15.93	15.79	19.72	20.58
ENSG00000005187	0.28	0.37	0.28	0.31	0.6	0.4	0.18	0.15	0.1	0.1	0.63	0.68
ENSG00000005189	2.75	2.83	8.21	8.53	1.76	2.21	2.53	2.31	4.87	4.82	3.01	2.91
ENSG00000005194	16.66	17.03	8.88	8.19	20.95	18.46	17.99	18.83	14.18	14.09	7.36	7.33
ENSG00000005206	2.21	2.29	3.73	4.08	2.96	2.61	3.1	3.07	10.4	9.09	2.8	2.56
ENSG00000005238	0.71	0.75	0.38	0.36	0.49	0.46	0.41	0.44	0.63	0.57	0.45	0.48
ENSG00000005243	0.39	0.53	0.01	0	0.03	0.03	0	0.02	2.25	2.6	0.16	0.25
ENSG00000005249	2.23	2.21	173.76	167.86	29.4	45.42	52.12	55	225.39	224.77	7.12	7.59
ENSG00000005302	50.77	50.52	4.39	4.6	4.29	4.04	3.64	3.6	6.43	6.61	9.87	9.92
ENSG00000005339	9.03	8.73	11.17	11.94	11.5	9.14	7.76	7.48	15.58	14.65	13.39	13.58
ENSG00000005379	0.05	0.06	0.36	0.38	0.1	0.12	0.16	0.16	0.22	0.19	0.57	0.59
ENSG00000005381	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005421	0.02	0	0	0	0	0	0	0	0	0	0.01	0.02
ENSG00000005436	7.97	7.73	5.8	5.77	5.23	5.54	4.84	4.48	4.58	4.48	6.25	6.39
ENSG00000005448	8.14	9.18	10	9.2	10.44	12.53	15.09	14.29	7.33	7.66	10.08	10.23
ENSG00000005469	1.28	1.25	1.26	1.3	1.3	1.18	1.06	1.06	2.11	2.15	3.12	3.11
ENSG00000005471	0.08	0.08	11.91	12.2	0.06	0.03	0	0	0.4	0.4	1.23	1.21
ENSG00000005483	13.53	12.61	9.49	9.95	25.46	18.6	12.47	12	17.29	16.11	16.97	16.38
ENSG00000005486	7.81	8.36	7.49	7.69	17.64	13.34	11.85	11.59	11.9	12.4	16.8	17.14
ENSG00000005513	0.01	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005700	14.7	13.88	10.5	10.97	9.94	11.74	12.47	12.65	9.08	9.02	5.57	6.03
ENSG00000005801	6.63	6.51	4.43	4.51	8.27	8.24	7.85	7.75	6.54	6.32	10.73	10.04
ENSG00000005810	18.67	17.95	13.37	15.88	22.19	17.82	14.47	14.35	37.7	33.96	7.33	8.04
ENSG00000005812	8.14	7.77	6.96	7.41	11.72	9.54	7.15	7.32	29.64	30.81	11.41	11.28
ENSG00000005844	14.42	14.22	13.61	15.77	0.49	4.21	8.15	7.82	28.12	26.62	3.16	2.93
ENSG00000005882	2.5	2.61	3	2.97	3.38	2.15	1.04	1.07	3.09	3.35	1.5	1.4
ENSG00000005884	0.53	0.52	0.06	0.06	1.15	0.51	0.03	0.03	0.51	0.45	0.07	0.11
ENSG00000005889	11.04	10	5.78	6.11	6.89	6.19	5.57	5.79	7.76	7.56	12.64	12.69
ENSG00000005893	24.31	23.22	24.85	25.02	16.59	19.66	19.73	20.14	32.59	32.42	31.62	32.32
ENSG00000005961	0.04	0.02	0.03	0.06	0.03	0.01	0.01	0.03	0.02	0.01	0.01	0.01
ENSG00000005981	0.03	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0.02	0.02
ENSG00000006007	11.42	11.37	17.21	16.26	22.15	20.99	18.54	19.65	20.46	21.37	15.52	15.54
ENSG00000006015	5.92	6.05	9.17	8.23	6.04	5.62	5.78	6.01	6.55	6.54	3.63	3.71
ENSG00000006016	0.19	0.32	0.51	0.66	0.56	0.61	0.63	0.58	0.51	0.5	0.26	0.15
ENSG00000006025	1.77	1.52	1.41	1.45	1.82	1.54	1.54	1.48	2.23	2.05	0.46	0.57
ENSG00000006042	0.07	0.05	0.1	0.11	0.01	0.02	0.01	0.02	0	0.01	0.02	0
ENSG00000006047	0	0	0	0	0.07	0.02	0	0	0.02	0.02	0	0
ENSG00000006059	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006062	6.59	6.63	2.34	2.07	2.98	4.57	6.33	6.22	4.74	4.9	4.86	4.89
ENSG00000006071	0	0	0.07	0.06	0	0	0	0	0	0	0	0
ENSG00000006116	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006118	0.71	0.85	0.07	0.06	0.08	0.05	0.03	0.06	0.14	0.15	0.02	0.01
ENSG00000006125	37.11	37.01	23.82	24.23	31.84	26.79	22.29	22.98	25.24	24.37	24.29	23.76
ENSG00000006128	0.01	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006194	6.13	5.84	5.95	5.7	6.27	6.42	7.42	7.05	6.75	7.18	8.16	8.35
ENSG00000006210	0.01	0.02	0.02	0.01	0.01	0	0.01	0.01	0	0.01	0	0
ENSG00000006282	2.26	2.42	6.05	6.38	0.12	0.04	0	0	0.59	0.58	1.9	1.82
ENSG00000006283	0.02	0.04	0	0.01	0	0	0	0	0	0	0	0.01
ENSG00000006327	0.28	0.46	0.2	0.35	0.44	0.34	0.48	0.55	0.2	0.15	0.32	0.24
ENSG00000006377	0	0	0	0	0	0	0	0	0.01	0	0	0
ENSG00000006432	2.16	2.06	3.38	3.89	0.63	1.16	1.64	1.72	1.7	1.61	1.35	1.37
ENSG00000006451	14.46	14.52	17.01	17.02	26.7	24	21.18	21.28	24.5	25.33	25.14	25
ENSG00000006453	9.29	9.54	0.44	0.42	0.12	0.07	0.02	0.01	1.65	1.63	1.69	1.67
ENSG00000006459	1.22	1.07	1.35	1.66	3.37	2.48	1.41	1.23	2.78	2.88	4.1	4.17
ENSG00000006468	0.46	0.48	0	0	0	0	0	0	0	0	0	0
ENSG00000006530	8.96	8.94	3.97	4.04	5.77	6.22	6.27	6.13	1.5	1.45	3.66	3.68
ENSG00000006534	0.05	0.05	0.07	0.08	0.08	0.21	0.31	0.34	0.21	0.19	0.22	0.18
ENSG00000006555	0.46	0.54	0	0	0.02	0.01	0	0	0.02	0.01	0	0
ENSG00000006576	9.9	9.55	11.87	11.67	5.81	7.52	8.46	8.58	17.02	17.15	13.13	12.63
ENSG00000006606	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006607	5.27	5.22	5.08	5.22	4.25	6.69	9.3	9.59	5.59	5.25	3.69	3.72
ENSG00000006611	0	0	0.01	0	0	0	0	0	0	0	0	0
ENSG00000006625	26.26	25.23	30.98	31.17	45.8	41.36	34	35.49	32.73	33.49	32.88	35.85
ENSG00000006634	22.08	20.88	25.45	24.33	35.13	29.65	20.46	20.8	25.95	26.16	33.56	32.94
ENSG00000006638	0.18	0.13	0.05	0.13	0.51	0.32	0.11	0.1	0.15	0.19	0.12	0.09
ENSG00000006652	7.74	7.24	3.81	4.04	12.69	8.53	5.16	5.03	23.32	24.3	4.24	4.42
ENSG00000006659	0.11	0.04	0	0.05	0.02	0.22	0.47	0.77	0	0	0	0
ENSG00000006695	5.64	5.31	8.66	8.58	5.82	9.17	11.38	10.95	5.76	5.85	7.36	7
ENSG00000006704	0.05	0.06	1.48	1.42	2.34	1.18	0.01	0.01	0.04	0.03	0.08	0.12
ENSG00000006712	23.27	22.92	22.75	20.75	23.36	20.99	18.71	17.31	24.44	23.88	21.62	21.87
ENSG00000006715	9.59	9	3.5	3.43	14.75	9.4	4.69	4.61	5.39	5.23	12.28	12.42
ENSG00000006740	0.8	0.85	1.26	1.35	0.31	0.87	1.42	1.44	0.09	0.09	1.17	1.13
ENSG00000006744	11.38	11.51	22.2	20.75	11.74	15.49	21.12	20.56	6.22	6.46	26.63	26.4
ENSG00000006747	0.14	0.12	0.04	0.03	0.03	0.02	0.02	0.05	0.06	0.05	0.03	0.01
ENSG00000006756	0.03	0.02	0	0	0	0	0	0.01	0.01	0.01	0	0
ENSG00000006757	4.15	4.33	3.47	3.71	0	1.48	2.62	2.74	3.79	3.85	0.04	0.05
ENSG00000006788	0	0.01	0	0	0	0	0	0	0	0	0	0
ENSG00000006831	30.95	30.45	16.73	17.1	23.19	22.95	23.15	22.8	27.43	26.88	42.25	40.78
ENSG00000006837	0.24	0.25	0.29	0.26	0.22	0.07	0.17	0.17	0.21	0.34	0.15	0.17
ENSG00000007001	0.01	0	0	0	0	0	0	0	0	0.01	0.01	0
ENSG00000007038	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007047	5.02	5.15	3.48	3.87	11.16	7.85	4.42	4.46	4.87	5.05	5.56	5.26
ENSG00000007062	0	0.01	0.09	0.15	0.01	0.02	0.02	0.02	0	0	0	0
ENSG00000007080	42.01	42.13	40.28	35.71	54.06	46.86	45.78	44.45	37.45	38.03	44.69	45.6
ENSG00000007129	9.39	9.22	0.96	1.05	2.4	1.76	0.58	0.77	5.5	6.31	1.44	1.55
ENSG00000007168	15.32	15.31	34.59	35.06	15.54	19.77	24.14	23.96	18.9	18.27	11.29	10.86
ENSG00000007171	0	0.01	0	0	0.01	0	0	0	0	0	0	0
ENSG00000007174	0	0	0	0	0	0	0	0.01	0	0	0	0
ENSG00000007202	26.97	26.58	25	25.99	32.56	29.3	29.32	29.76	24.94	23.31	39.69	41.83
ENSG00000007216	0	0	0	0.01	0	0	0	0	0	0	0	0
ENSG00000007237	3.25	3.19	0.95	1.13	0.45	0.42	0.33	0.34	0.01	0	25.31	24.85
ENSG00000007255	9.27	9.98	34.03	33.15	23.67	19.91	17.83	16.63	48.51	52.26	9.06	9.17
ENSG00000007264	0.32	0.27	0	0.01	0.01	0	0	0.01	0	0	0	0
ENSG00000007306	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007312	41.36	45.84	262.59	251.69	310.29	242.72	195.15	192.84	327.31	331.33	206.92	215.89
ENSG00000007314	0.11	0.15	1.39	1.81	2.12	1.52	1.13	1.05	2.35	2.58	0.54	0.58
ENSG00000007341	0.67	0.61	0.65	0.76	0.42	0.55	0.75	0.72	0.64	0.6	0.38	0.37
ENSG00000007350	0	0	0.04	0.04	0.01	0.02	0	0.02	0.01	0	1.49	1.54
ENSG00000007372	0.16	0.14	0.07	0.1	0.17	0.14	0.12	0.13	0.32	0.28	0.35	0.39
ENSG00000007376	12.32	13.34	17.03	16.01	18.48	18.5	21.14	20.21	7.16	7.58	11.36	11.64
ENSG00000007384	0.04	0.02	0.04	0.05	0.07	0.03	0.02	0.03	0.02	0.02	0.03	0.03
ENSG00000007392	4.39	4.36	2.97	3.25	5.56	4.21	4.18	3.79	1.77	1.51	5.29	5.17
ENSG00000007402	0.01	0.01	0.02	0.03	0.54	0.29	0.01	0.02	0.05	0.03	0.04	0.02
ENSG00000007516	0.08	0.06	0.13	0.1	0.73	0.43	0.03	0.04	0.24	0.18	0.06	0.07
ENSG00000007520	36.06	37.93	28.03	25.72	35.92	30.32	33.99	34.63	26.6	26.23	32.95	35.27
ENSG00000007541	2.73	2.69	2.67	2.85	3.72	3.02	3.08	3.02	2.2	2.36	1.86	1.69
ENSG00000007545	2.05	1.98	1.4	1.44	3.61	2.52	1.82	1.92	2.4	2.45	4.57	4.55
ENSG00000007866	0.05	0.03	0	0.01	0.02	0.02	0	0	0.01	0.02	0	0.01
ENSG00000007908	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007923	12.29	12.34	10.55	9.36	23.02	22.94	23.67	22.36	9.69	9.72	10.6	10.96
ENSG00000007933	0.02	0.03	0.04	0.04	0.04	0.02	0.02	0.02	0.08	0.03	0	0.02
ENSG00000007944	3.58	4.26	11.69	11.25	5.92	8.64	12.07	11.85	2.51	2.59	2.96	2.77
ENSG00000007952	0.19	0.15	0.12	0.08	0.18	0.05	0.07	0.06	0.25	0.24	0.57	0.47
ENSG00000007968	12.77	12.89	60.2	59.98	45.68	36.12	33.54	33.38	53.51	53.31	54.2	53.28
ENSG00000008018	102.83	106.71	66.34	61.84	94.55	74.27	56.49	58.25	95.41	95.96	68.71	71.12
ENSG00000008056	0.15	0.19	0	0	0.01	0	0	0	0.01	0.02	0.02	0
ENSG00000008083	6.03	5.97	3.92	4.29	5.96	3.71	1.61	1.57	9.74	9.88	13.37	13.34
ENSG00000008086	1.15	1.11	0.87	1.03	0.79	0.76	0.71	0.76	0.27	0.25	0.55	0.55
ENSG00000008118	0.03	0.03	0	0	0	0	0	0	0	0	0	0
ENSG00000008128	1.55	1.43	1.17	1.21	2.24	1.62	1.83	1.66	2.64	2.28	1.09	1.14
ENSG00000008130	24.64	25.58	14.89	14.39	53.29	40.3	29.38	29.66	36.29	34.56	37.83	38.61
ENSG00000008196	0	0.01	0	0	0	0	0	0	0	0	0	0
ENSG00000008197	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008226	0.01	0	0.01	0	0.01	0.02	0.01	0.01	0.01	0	0.01	0.01
ENSG00000008256	5.32	5.6	4.66	4.8	9.66	8.24	6.39	6.48	0.52	0.53	7.53	7.39
ENSG00000008277	1.58	1.4	0.5	0.59	0.37	0.54	0.85	0.74	0.96	0.91	2.17	2.37
ENSG00000008282	18.81	17.22	73.12	70.87	97.05	85.79	68.45	69.78	130.68	131.87	37.27	39.36
ENSG00000008283	3.26	3.91	0	0.03	0.9	0.37	0	0.02	0.08	0.11	0.38	0.29
ENSG00000008294	13.34	13.03	8.29	8.02	8.32	10.04	11.65	11.88	14.26	14.29	11.86	11.89
ENSG00000008300	0.06	0.05	0.73	0.83	0.3	0.82	1.33	1.28	0.51	0.55	0.07	0.09
ENSG00000008311	0.61	0.58	0.03	0.01	0.84	0.47	0.01	0.03	0.06	0.03	5.95	5.77
ENSG00000008323	0.06	0.03	0	0.01	0.02	0.01	0.02	0.01	0.02	0.01	0	0
ENSG00000008324	11.38	11.56	20.61	20.05	15.58	18.02	20.82	21.57	27.88	29.79	26.28	27.63
ENSG00000008382	4.31	4.88	4.46	4.66	9.33	7.78	4.53	4.97	3.1	3.07	10.4	11.26
ENSG00000008394	0.01	0.02	0	0.01	6.83	3.36	0.01	0	2.34	2.43	0.01	0.01
ENSG00000008405	11.47	11.55	0	0.01	0	0.01	0	0	0	0	0	0
ENSG00000008438	0.03	0.03	0.14	0.15	0.14	0.04	0	0.12	0.24	0	0	0.03
ENSG00000008441	0.55	0.52	0.31	0.3	0.09	0.07	0.07	0.07	0.49	0.56	1.12	1.08
ENSG00000008513	6.03	6.05	2.66	2.91	0.7	0.64	0.48	0.47	1.58	1.51	3.57	3.41
ENSG00000008516	0.17	0.18	0.15	0.11	0.09	0.11	0.03	0.06	0.29	0.29	0.01	0.01
ENSG00000008517	22.99	23.55	0.03	0.01	0.25	0.36	0.33	0.34	0.02	0.04	0.03	0.01
ENSG00000008710	1.48	1.5	2.08	2.32	1.92	2.31	3.32	3.24	6.27	5.65	2.15	2.34
ENSG00000008735	0.16	0.11	0.63	0.57	0.33	0.2	0.24	0.27	0.92	1.04	0.05	0.04
ENSG00000008838	14.95	15.03	10.89	9.98	14.85	12.26	10.75	10.4	13.14	13.18	12.52	12.56
ENSG00000008853	9.6	9.2	38.39	39.88	16.94	13.42	11.88	11.71	12.44	12.17	2.55	2.58
ENSG00000008869	5.65	5.54	5.01	5.19	6.5	6.42	6.28	6.57	4.52	4.13	8.12	8.02
ENSG00000008952	41.22	37.8	35.38	33.59	41.92	39.89	34.09	33.22	47.83	48.15	22.93	23.27
ENSG00000008988	255.74	258.03	483.57	482.85	278.56	347.99	412.62	409.19	285.35	294.34	242.34	240.49
ENSG00000009307	173.86	166.99	120.94	117.7	150.83	158.25	151.9	154.39	136.53	139.1	144.09	145.27
ENSG00000009335	15.41	14.89	12.28	12.01	18.79	17.34	15.91	16.7	16.36	16.91	20.06	20.02
ENSG00000009413	6.92	6.29	7.18	7.72	6.52	7.1	7.45	7.21	11.96	11.74	5.63	5.75
ENSG00000009694	0	0	0.08	0.08	0	0	0	0	0	0	0.01	0
ENSG00000009709	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000009724	0.29	0.31	0.32	0.33	0.44	0.48	0.47	0.59	0.65	0.61	0.16	0.11
ENSG00000009765	0.01	0.02	0.01	0.01	0.01	0.02	0.01	0.02	0.01	0.01	0.02	0.01
ENSG00000009780	2.65	2.48	5.04	5	3.96	5.23	6.55	6.84	4.32	4.25	6.41	6.12
ENSG00000009790	7.53	7.31	0.44	0.43	0.18	0.6	1.02	1.1	0.44	0.38	1.8	1.84
ENSG00000009830	0.83	0.78	0.72	0.72	1.44	1.19	1.39	1.35	1.44	1.39	1.18	1.25
ENSG00000009844	13.03	11.54	12.65	12.25	14.6	12.94	10.58	10.26	11.68	11.66	13.16	13.45
ENSG00000009950	0.02	0.03	0.04	0.07	0.01	0.02	0.03	0.03	0.1	0.11	0.02	0.04
ENSG00000009954	38.96	36.97	42.01	40.68	78.23	47.56	22.27	21.71	81.86	81.26	84.27	83.39
ENSG00000010017	12.86	12.17	25.19	25.9	25.51	25.7	25.53	25.27	29.43	29.41	34.45	33.88
ENSG00000010030	0.59	0.62	0.01	0.11	0.05	0.02	0.02	0.04	0	0	0.01	0.01
ENSG00000010072	3.37	2.94	3.71	3.66	4.55	4.21	3.17	3.16	3.49	3.38	9.04	9.04
ENSG00000010165	16.63	16.4	14.3	13.34	24.32	15.31	9.58	10.36	10.75	10.84	24.44	24.03
ENSG00000010219	2.05	2.13	2.52	2.54	1.86	2.04	2.02	1.97	0.55	0.56	1.39	1.19
ENSG00000010244	16.4	15.97	15.27	15.29	19.92	17.62	15.53	16.25	12.5	12.11	18.58	18.19
ENSG00000010256	26.1	26.18	47.09	43.61	20.98	33.15	47.42	48.66	25.73	26.74	39.62	39.83
ENSG00000010270	15.89	15.88	7.1	6.84	10.02	9.16	7.21	7.54	7.07	7.43	7.25	7.14
ENSG00000010278	0.44	0.36	0.05	0.02	8.96	4.85	0.08	0.08	0	0	0	0
ENSG00000010282	0	0	0.07	0.12	0	0	0	0	0	0	0	0.01
ENSG00000010292	73.71	74.52	85.6	90.45	62.88	61.55	59.13	59.16	70.78	67.94	114.04	112.4
ENSG00000010295	2.34	2.6	1.81	1.93	3.17	2.05	1.35	1.38	4.36	4.23	2.83	2.71
ENSG00000010310	0.66	0.64	0.22	0.24	0.26	0.17	0.14	0.1	0.45	0.31	0.18	0.15
ENSG00000010318	0.86	1.01	3.7	3.71	0.97	2.32	2.94	2.99	6.71	6.61	2.12	2
ENSG00000010319	0.01	0.01	0.81	0.61	0.21	0.3	0.49	0.5	0	0	0.87	0.86
ENSG00000010322	2.53	2.73	3.74	3.59	4.36	4.17	5.08	4.66	6.66	6.08	4.21	4.4
ENSG00000010327	0	0	0.01	0.01	0.02	0	0	0	0.01	0.01	0	0.01
ENSG00000010361	2.75	2.72	4.47	4.05	9.09	7.66	6.08	6.44	5.14	5.69	2.83	3.21
