# Expression Atlas
# Query: Genes matching: 'default query', specifically expressed above the expression level cutoff: 0 FPKM in experiment E-MTAB-4101
# Selected columns: 6 (all)
# Timestamp: Wed, 06-Sep-2017 12:44:20
Gene ID	Gene Name	F-36P	HEL9217	K562	KU812	MEG01	UT-7
ENSG00000005238	FAM214B	8.0	3.0	3.0	3.0	4.0	1.0
ENSG00000005243	COPZ2	0.1	4.0	0.1		0.2	
ENSG00000005249	PRKAR2B	47.0	30.0	73.0	68.0	45.0	49.0
ENSG00000005302	MSL3	2.0	3.0	6.0	3.0	4.0	7.0
ENSG00000005339	CREBBP	10.0	9.0	10.0	8.0	6.0	8.0
ENSG00000005379	TSPOAP1	0.3	0.1	0.2			0.1
ENSG00000005436	GCFC2	6.0	5.0	4.0	5.0	5.0	6.0
ENSG00000005448	WDR54	0.1	4.0	2.0	3.0	2.0	7.0
ENSG00000005469	CROT	2.0	1.0	1.0	1.0	0.8	3.0
ENSG00000005471	ABCB4	1.0	0.2	0.1	0.1	0.1	4.0
ENSG00000005483	KMT2E	10.0	6.0	13.0	8.0	6.0	11.0
ENSG00000005486	RHBDD2	16.0	7.0	36.0	9.0	7.0	16.0
ENSG00000005700	IBTK	12.0	14.0	13.0	25.0	16.0	7.0
ENSG00000005801	ZNF195	6.0	7.0	10.0	6.0	4.0	2.0
ENSG00000005810	MYCBP2	4.0	15.0	3.0	10.0	14.0	5.0
ENSG00000005812	FBXL3	2.0	8.0	4.0	12.0	11.0	5.0
ENSG00000005844	ITGAL	0.4	2.0	0.1	0.7	0.8	0.2
ENSG00000005882	PDK2	0.4	3.0	0.2	3.0	3.0	2.0
ENSG00000005884	ITGA3			0.2		0.1	
ENSG00000005889	ZFX	3.0	3.0	4.0	3.0	2.0	3.0
ENSG00000005893	LAMP2	28.0	20.0	55.0	26.0	24.0	19.0
ENSG00000005961	ITGA2B	94.0	176.0	2.0	145.0	119.0	36.0
ENSG00000006007	GDE1	17.0	10.0	17.0	19.0	41.0	18.0
ENSG00000006015	C19orf60	10.0	5.0	7.0	10.0	8.0	5.0
ENSG00000006016	CRLF1	0.7	0.4	0.4	0.4	0.8	
ENSG00000006025	OSBPL7	1.0	1.0	2.0	0.8	2.0	2.0
ENSG00000006042	TMEM98		2.0	15.0	5.0	3.0	2.0
ENSG00000006047	YBX2	0.1			2.0	0.2	0.1
ENSG00000006062	MAP3K14	4.0	0.5	2.0	0.5	0.4	1.0
ENSG00000006116	CACNG3						0.1
ENSG00000006118	TMEM132A	0.3	0.2		0.1	0.1	
ENSG00000006125	AP2B1	35.0	77.0	64.0	88.0	82.0	46.0
ENSG00000006128	TAC1			0.1			
ENSG00000006194	ZNF263	6.0	6.0	7.0	5.0	4.0	5.0
ENSG00000006282	SPATA20	2.0	5.0	0.7	2.0	2.0	0.1
ENSG00000006283	CACNA1G						0.7
ENSG00000006327	TNFRSF12A	6.0	0.8	21.0	5.0	4.0	2.0
ENSG00000006377	DLX6		0.1				
ENSG00000006432	MAP3K9	0.4	0.1	0.4	0.1	0.1	0.4
ENSG00000006451	RALA	16.0	20.0	28.0	14.0	13.0	6.0
ENSG00000006453	BAIAP2L1	0.1		9.0		0.3	
ENSG00000006459	KDM7A	2.0	0.3	8.0	3.0	0.5	2.0
ENSG00000006468	ETV1		0.3	7.0	0.6	1.0	0.1
ENSG00000006530	AGK	9.0	7.0	8.0	6.0	7.0	5.0
ENSG00000006534	ALDH3B1	7.0	0.6	0.1	9.0		5.0
ENSG00000006576	PHTF2	7.0	1.0	9.0	2.0	4.0	3.0
ENSG00000006606	CCL26			0.9			0.1
ENSG00000006607	FARP2	5.0	3.0	2.0	3.0	5.0	3.0
ENSG00000006611	USH1C	0.1			0.1		
ENSG00000006625	GGCT	28.0	29.0	48.0	19.0	24.0	24.0
ENSG00000006634	DBF4	16.0	9.0	20.0	12.0	15.0	22.0
ENSG00000006638	TBXA2R	2.0	6.0	14.0	1.0	0.3	
ENSG00000006652	IFRD1	17.0	9.0	22.0	2.0	8.0	3.0
ENSG00000006695	COX10	5.0	9.0	6.0	8.0	10.0	7.0
ENSG00000006704	GTF2IRD1	4.0	2.0	9.0	0.3	2.0	4.0
ENSG00000006712	PAF1	14.0	17.0	16.0	20.0	29.0	24.0
ENSG00000006715	VPS41	6.0	8.0	7.0	12.0	9.0	12.0
ENSG00000006740	ARHGAP44	0.1			0.1	0.1	
ENSG00000006744	ELAC2	7.0	14.0	9.0	16.0	25.0	22.0
ENSG00000006747	SCIN	4.0		0.6			
ENSG00000006756	ARSD	0.1	2.0	0.2	0.7	0.9	0.2
ENSG00000006757	PNPLA4	3.0	3.0	7.0	3.0		7.0
ENSG00000006831	ADIPOR2	35.0	37.0	26.0	26.0	23.0	18.0
ENSG00000006837	CDKL3	0.6	0.3	0.5	0.1	0.2	0.3
ENSG00000007038	PRSS21	15.0	33.0	28.0	38.0	32.0	
ENSG00000007047	MARK4	6.0	11.0	9.0	4.0	8.0	3.0
ENSG00000007062	PROM1						0.1
ENSG00000007080	CCDC124	53.0	30.0	33.0	35.0	85.0	39.0
ENSG00000007129	CEACAM21	0.2	0.6	0.1	0.1	0.4	
ENSG00000007168	PAFAH1B1	10.0	19.0	20.0	15.0	16.0	17.0
ENSG00000007171	NOS2		0.1			0.1	
ENSG00000007174	DNAH9						0.1
ENSG00000007202	KIAA0100	18.0	30.0	31.0	26.0	23.0	10.0
ENSG00000007255	TRAPPC6A	7.0	33.0	37.0	38.0	19.0	14.0
ENSG00000007264	MATK	3.0	5.0	10.0	3.0	9.0	
ENSG00000007312	CD79B	0.3	5.0	0.1	0.8	0.6	
ENSG00000007314	SCN4A			1.0	0.2		
ENSG00000007341	ST7L	1.0	3.0	2.0	0.7	1.0	2.0
ENSG00000007350	TKTL1	0.1		1.0			0.1
ENSG00000007372	PAX6	2.0	1.0	3.0	0.1	0.1	
ENSG00000007376	RPUSD1	11.0	9.0	9.0	7.0	20.0	9.0
ENSG00000007384	RHBDF1	0.1	0.1	1.0	0.1	0.3	0.1
ENSG00000007392	LUC7L	4.0	3.0	5.0	3.0	3.0	4.0
ENSG00000007402	CACNA2D2		0.1	0.1	0.3		0.7
ENSG00000007516	BAIAP3	0.1		1.0	0.5		0.1
ENSG00000007520	TSR3	27.0	20.0	27.0	20.0	29.0	25.0
ENSG00000007541	PIGQ	4.0	3.0	6.0	10.0	5.0	17.0
ENSG00000007545	CRAMP1	3.0	2.0	2.0	2.0	2.0	2.0
ENSG00000007866	TEAD3	0.3	0.4	7.0	0.2	1.0	3.0
ENSG00000007923	DNAJC11	14.0	19.0	11.0	16.0	20.0	21.0
ENSG00000007944	MYLIP	6.0	7.0	12.0	18.0	14.0	25.0
ENSG00000007952	NOX1	0.2	0.3	0.4	0.1	0.2	
ENSG00000007968	E2F2	1.0	8.0	9.0	4.0	4.0	14.0
ENSG00000008018	PSMB1	70.0	67.0	72.0	112.0	84.0	85.0
ENSG00000008056	SYN1	0.3	0.1	0.8	0.1	0.1	2.0
ENSG00000008083	JARID2	7.0	15.0	13.0	59.0	18.0	25.0
ENSG00000008086	CDKL5	0.1		0.1	0.1		0.2
ENSG00000008128	CDK11A	2.0	2.0	2.0	2.0	2.0	2.0
ENSG00000008130	NADK	20.0	21.0	17.0	18.0	24.0	18.0
ENSG00000008226	DLEC1				0.1		
ENSG00000008256	CYTH3	5.0	1.0	6.0	2.0	2.0	5.0
ENSG00000008277	ADAM22	0.1	2.0	0.4	0.6	0.8	2.0
ENSG00000008282	SYPL1	22.0	34.0	59.0	39.0	47.0	25.0
ENSG00000008283	CYB561	2.0	3.0	20.0	9.0	12.0	2.0
ENSG00000008294	SPAG9	11.0	6.0	20.0	8.0	8.0	9.0
ENSG00000008300	CELSR3		0.7	0.7	0.3	0.1	0.7
ENSG00000008311	AASS	3.0	4.0		3.0	9.0	
ENSG00000008323	PLEKHG6		0.1	0.1			
ENSG00000008324	SS18L2	9.0	18.0	28.0	12.0	16.0	21.0
ENSG00000008382	MPND	14.0	5.0	3.0	9.0	4.0	12.0
ENSG00000008394	MGST1	7.0	15.0	8.0	6.0	13.0	12.0
ENSG00000008405	CRY1	2.0	6.0	12.0	4.0	4.0	6.0
ENSG00000008438	PGLYRP1	0.2	0.1	0.1		0.1	
ENSG00000008441	NFIX	9.0	6.0	3.0	19.0	16.0	9.0
ENSG00000008513	ST3GAL1	27.0	7.0	2.0	13.0	11.0	19.0
ENSG00000008517	IL32	2.0	0.1	0.2	0.1	0.1	
ENSG00000008710	PKD1	4.0	3.0	5.0	2.0	1.0	2.0
ENSG00000008735	MAPK8IP2	0.1	0.1	0.7			0.1
ENSG00000008838	MED24	7.0	10.0	13.0	20.0	12.0	13.0
ENSG00000008853	RHOBTB2	0.7	2.0	1.0	2.0	2.0	3.0
ENSG00000008869	HEATR5B	4.0	7.0	5.0	5.0	4.0	3.0
ENSG00000008952	SEC62	7.0	14.0	14.0	13.0	14.0	10.0
ENSG00000008988	RPS20	340.0	504.0	290.0	430.0	266.0	221.0
ENSG00000009307	CSDE1	166.0	151.0	121.0	199.0	201.0	92.0
ENSG00000009335	UBE3C	9.0	10.0	17.0	14.0	25.0	9.0
ENSG00000009413	REV3L	5.0	3.0	4.0	6.0	3.0	4.0
ENSG00000009694	TENM1	4.0	0.3	3.0			
ENSG00000009724	MASP2	0.4	0.4	0.1	0.2	0.1	
ENSG00000009780	FAM76A	3.0	2.0	2.0	2.0	2.0	2.0
ENSG00000009790	TRAF3IP3	1.0	1.0		0.5	0.1	0.6
ENSG00000009830	POMT2	1.0	0.8	2.0	2.0	1.0	0.9
ENSG00000009844	VTA1	13.0	12.0	9.0	20.0	14.0	12.0
ENSG00000009950	MLXIPL	0.1		3.0			0.1
ENSG00000009954	BAZ1B	36.0	21.0	42.0	17.0	24.0	29.0
ENSG00000010017	RANBP9	18.0	22.0	70.0	64.0	30.0	20.0
ENSG00000010030	ETV7	0.8	0.5	0.1		0.1	0.2
ENSG00000010072	SPRTN	3.0	3.0	7.0	4.0	3.0	3.0
ENSG00000010165	METTL13	14.0	19.0	15.0	35.0	21.0	30.0
ENSG00000010219	DYRK4	4.0	5.0	1.0	1.0	4.0	2.0
ENSG00000010244	ZNF207	10.0	18.0	19.0	20.0	14.0	11.0
ENSG00000010256	UQCRC1	25.0	48.0	37.0	43.0	42.0	56.0
ENSG00000010270	STARD3NL	12.0	12.0	15.0	7.0	19.0	6.0
ENSG00000010278	CD9		1.0	0.3	0.2	0.4	0.8
ENSG00000010292	NCAPD2	45.0	43.0	33.0	33.0	31.0	41.0
ENSG00000010295	IFFO1	4.0	4.0		1.0	0.7	2.0
ENSG00000010310	GIPR	0.1	0.1	3.0	0.1	0.1	0.2
ENSG00000010318	PHF7	1.0	2.0	4.0	4.0	2.0	7.0
ENSG00000010319	SEMA3G		3.0		2.0	1.0	0.8
ENSG00000010322	NISCH	3.0	11.0	7.0	6.0	5.0	6.0
ENSG00000010327	STAB1	0.1	5.0	0.1	6.0	7.0	
ENSG00000010361	FUZ	6.0	9.0	2.0	10.0	10.0	6.0
ENSG00000010379	SLC6A13			0.2		0.1	
ENSG00000010404	IDS	12.0	7.0	8.0	4.0	12.0	3.0
ENSG00000010438	PRSS3			0.1			
ENSG00000010539	ZNF200	2.0	3.0	3.0	4.0	2.0	4.0
ENSG00000010610	CD4	42.0	6.0	0.1	12.0	25.0	
ENSG00000010626	LRRC23	2.0	1.0	2.0	0.7	0.8	1.0
ENSG00000010671	BTK	47.0	77.0	12.0	20.0	56.0	60.0
ENSG00000010704	HFE	0.1	0.1	0.5	0.1	0.1	0.1
ENSG00000010803	SCMH1	14.0	13.0	12.0		14.0	8.0
ENSG00000010810	FYN	13.0	10.0	5.0	2.0	7.0	21.0
ENSG00000010818	HIVEP2	6.0	5.0	0.3	4.0	4.0	3.0
ENSG00000010932	FMO1	2.0					4.0
ENSG00000011007	ELOA	13.0	22.0	13.0	19.0	25.0	14.0
ENSG00000011009	LYPLA2	17.0	43.0	36.0	26.0	43.0	27.0
ENSG00000011021	CLCN6	7.0	7.0	5.0	4.0	3.0	5.0
ENSG00000011028	MRC2	3.0	13.0	12.0	3.0	10.0	2.0
ENSG00000011052	NME1-NME2	1.0	3.0	0.2	1.0	4.0	0.4
ENSG00000011105	TSPAN9	0.1	8.0	1.0	0.5	0.8	0.2
ENSG00000011114	BTBD7	2.0	3.0	3.0	6.0	3.0	4.0
ENSG00000011132	APBA3	2.0	3.0	4.0	3.0	2.0	1.0
ENSG00000011143	MKS1	4.0	4.0	7.0	8.0	4.0	8.0
ENSG00000011198	ABHD5	6.0	15.0	9.0	17.0	21.0	9.0
ENSG00000011201	ANOS1	0.2	0.3		0.8	4.0	3.0
ENSG00000011243	AKAP8L	7.0	13.0	14.0	17.0	11.0	22.0
ENSG00000011258	MBTD1	8.0	14.0	9.0	10.0	8.0	4.0
ENSG00000011260	UTP18	35.0	39.0	22.0	36.0	37.0	23.0
ENSG00000011275	RNF216	6.0	6.0	7.0	8.0	6.0	5.0
ENSG00000011295	TTC19	9.0	11.0	9.0	7.0	7.0	10.0
ENSG00000011304	PTBP1	59.0	67.0	69.0	96.0	83.0	62.0
ENSG00000011332	DPF1	0.3	0.5	0.4	0.6	0.8	2.0
ENSG00000011347	SYT7				0.1	0.1	
ENSG00000011376	LARS2	5.0	9.0	13.0	9.0	12.0	8.0
ENSG00000011405	PIK3C2A	4.0	3.0	7.0	4.0	4.0	2.0
ENSG00000011422	PLAUR	2.0	1.0	3.0	1.0	4.0	1.0
ENSG00000011426	ANLN	4.0	3.0	12.0	12.0	11.0	10.0
ENSG00000011451	WIZ	4.0	7.0	8.0	9.0	12.0	7.0
ENSG00000011454	RABGAP1	4.0	6.0	5.0	4.0	4.0	4.0
ENSG00000011478	QPCTL	11.0	3.0	8.0	3.0	11.0	4.0
ENSG00000011485	PPP5C	13.0	14.0	9.0	11.0	24.0	13.0
ENSG00000011523	CEP68	4.0	5.0	4.0	6.0	2.0	6.0
ENSG00000011566	MAP4K3	3.0	4.0	6.0	2.0	2.0	3.0
ENSG00000011590	ZBTB32	0.2			0.1	0.1	7.0
ENSG00000011600	TYROBP	40.0	11.0	2.0	0.7	0.1	
ENSG00000011638	TMEM159	8.0	5.0	7.0	3.0	8.0	1.0
ENSG00000011677	GABRA3		0.3	2.0			
ENSG00000012048	BRCA1	18.0	7.0	18.0	8.0	7.0	12.0
ENSG00000012061	ERCC1	14.0	17.0	13.0	15.0	20.0	12.0
ENSG00000012124	CD22	0.1		0.6			
ENSG00000012171	SEMA3B		0.1	0.3			0.1
ENSG00000012174	MBTPS2	5.0	3.0	8.0	2.0	3.0	3.0
ENSG00000012211	PRICKLE3	6.0	4.0	9.0	3.0	5.0	6.0
ENSG00000012223	LTF		0.5		0.2	0.1	0.7
ENSG00000012232	EXTL3	14.0	4.0	4.0	4.0	4.0	5.0
ENSG00000012660	ELOVL5	80.0	56.0	58.0	129.0	103.0	117.0
ENSG00000012779	ALOX5	18.0	4.0	1.0	0.3	1.0	2.0
ENSG00000012817	KDM5D		8.0		9.0	13.0	6.0
ENSG00000012822	CALCOCO1	0.6	4.0	2.0	4.0	3.0	4.0
ENSG00000012963	UBR7	11.0	15.0	18.0	28.0	13.0	39.0
ENSG00000012983	MAP4K5	6.0	6.0	5.0	7.0	6.0	6.0
ENSG00000013016	EHD3	15.0	32.0	0.1	0.7	1.0	0.3
ENSG00000013275	PSMC4	43.0	39.0	36.0	34.0	72.0	54.0
ENSG00000013288	MAN2B2	3.0	5.0	5.0	3.0	3.0	3.0
ENSG00000013297	CLDN11	0.1	0.1	0.1	0.1	0.1	
ENSG00000013306	SLC25A39	84.0	27.0	62.0	84.0	76.0	75.0
ENSG00000013364	MVP	0.4	1.0	1.0	2.0	3.0	0.5
ENSG00000013374	NUB1	11.0	10.0	20.0	9.0	8.0	9.0
ENSG00000013375	PGM3	10.0	3.0	19.0	7.0	3.0	6.0
ENSG00000013392	RWDD2A	3.0	1.0	4.0	2.0	0.8	2.0
ENSG00000013441	CLK1	10.0	9.0	10.0	6.0	7.0	7.0
ENSG00000013503	POLR3B	13.0	12.0	10.0	6.0	6.0	8.0
ENSG00000013523	ANGEL1	2.0	5.0	4.0	11.0	7.0	8.0
ENSG00000013561	RNF14	18.0	10.0	22.0	7.0	16.0	9.0
ENSG00000013563	DNASE1L1	3.0	2.0	3.0	2.0	4.0	5.0
ENSG00000013573	DDX11	7.0	6.0	4.0	3.0	4.0	11.0
ENSG00000013583	HEBP1	23.0	6.0	3.0	38.0	6.0	11.0
ENSG00000013619	MAMLD1						2.0
ENSG00000013725	CD6	1.0	2.0				
ENSG00000013810	TACC3	17.0	13.0	15.0	15.0	16.0	18.0
ENSG00000014123	UFL1	11.0	9.0	14.0	18.0	11.0	11.0
ENSG00000014138	POLA2	10.0	10.0	11.0	12.0	18.0	14.0
ENSG00000014164	ZC3H3	12.0	10.0	9.0	16.0	16.0	17.0
ENSG00000014216	CAPN1	35.0	35.0	26.0	35.0	42.0	24.0
ENSG00000014257	ACPP	0.2	4.0	0.1	2.0	4.0	0.1
ENSG00000014641	MDH1	33.0	39.0	33.0	23.0	35.0	54.0
ENSG00000014824	SLC30A9	16.0	14.0	18.0	11.0	7.0	11.0
ENSG00000014914	MTMR11	0.4	0.1	0.2	0.3	0.1	0.2
ENSG00000014919	COX15	17.0	15.0	15.0	11.0	11.0	14.0
ENSG00000015133	CCDC88C	3.0	3.0	3.0	3.0	2.0	2.0
ENSG00000015153	YAF2	3.0	3.0	3.0	1.0	2.0	1.0
ENSG00000015171	ZMYND11	15.0	20.0	6.0	16.0	21.0	13.0
ENSG00000015285	WAS	43.0	37.0	2.0	15.0	33.0	0.6
ENSG00000015475	BID	12.0	16.0	14.0	11.0	17.0	3.0
ENSG00000015479	MATR3	0.5	0.3	0.4	0.4	0.6	0.4
ENSG00000015520	NPC1L1		0.2		0.9		2.0
ENSG00000015532	XYLT2	4.0	7.0	2.0	2.0	3.0	2.0
ENSG00000015568	RGPD5		0.1				
ENSG00000015676	NUDCD3	3.0	7.0	7.0	6.0	7.0	6.0
ENSG00000016082	ISL1					0.4	
ENSG00000016391	CHDH	0.1		0.6			
ENSG00000016402	IL20RA					0.3	
ENSG00000016490	CLCA1	0.7		0.3	15.0	5.0	0.3
ENSG00000016864	GLT8D1	5.0	9.0	8.0	5.0	6.0	9.0
ENSG00000017260	ATP2C1	8.0	22.0	8.0	16.0	13.0	13.0
ENSG00000017427	IGF1			6.0			
ENSG00000017483	SLC38A5	18.0	14.0	15.0	20.0	37.0	55.0
ENSG00000017797	RALBP1	26.0	19.0	30.0	27.0	28.0	14.0
ENSG00000018189	RUFY3	4.0	2.0	5.0	2.0	2.0	0.8
ENSG00000018236	CNTN1					0.1	
ENSG00000018280	SLC11A1	1.0	0.5	0.7	0.8	0.5	3.0
ENSG00000018408	WWTR1	2.0	0.1		1.0	2.0	3.0
ENSG00000018510	AGPS	15.0	21.0	23.0	16.0	21.0	9.0
ENSG00000018610	CXorf56	8.0	6.0	11.0	6.0	7.0	12.0
ENSG00000018625	ATP1A2			0.1			0.1
ENSG00000018699	TTC27	12.0	14.0	23.0	18.0	16.0	5.0
ENSG00000018869	ZNF582	1.0	2.0	0.4	2.0	0.4	1.0
ENSG00000019102	VSIG2	2.0	4.0	0.2	0.3	0.5	
ENSG00000019144	PHLDB1	0.4	1.0	2.0	0.7	0.8	2.0
ENSG00000019485	PRDM11		1.0	0.1	2.0	2.0	3.0
ENSG00000019549	SNAI2				0.2	0.1	4.0
ENSG00000019582	CD74	602.0	17.0	1.0	0.1	0.1	
ENSG00000019991	HGF		0.7		0.2	0.6	
ENSG00000019995	ZRANB1	6.0	4.0	0.8	5.0	4.0	8.0
ENSG00000020129	NCDN	7.0	13.0	10.0	8.0	13.0	7.0
ENSG00000020181	ADGRA2	0.7	2.0	1.0	0.1	0.1	0.2
ENSG00000020256	ZFP64	3.0	2.0	2.0	3.0	3.0	6.0
ENSG00000020426	MNAT1	5.0	4.0	4.0	7.0	4.0	8.0
ENSG00000020577	SAMD4A		0.1	3.0		0.1	2.0
ENSG00000020633	RUNX3		1.0	0.2		10.0	10.0
ENSG00000020922	MRE11	11.0	11.0	8.0	12.0	9.0	21.0
ENSG00000021300	PLEKHB1		0.1	0.2	0.9	0.2	
ENSG00000021355	SERPINB1	20.0	77.0	33.0	67.0	92.0	18.0
ENSG00000021461	CYP3A43	0.2		0.1			
ENSG00000021574	SPAST	18.0	15.0	16.0	12.0	10.0	6.0
ENSG00000021762	OSBPL5	0.1	5.0	2.0	2.0	0.4	2.0
ENSG00000021776	AQR	6.0	9.0	6.0	10.0	7.0	7.0
ENSG00000021826	CPS1	2.0	4.0	2.0	1.0	3.0	3.0
ENSG00000022267	FHL1		0.1	6.0		0.3	
ENSG00000022277	RTFDC1	14.0	16.0	23.0	20.0	19.0	41.0
ENSG00000022355	GABRA1		0.1		3.0	1.0	
ENSG00000022556	NLRP2	0.3	7.0	5.0		0.1	
ENSG00000022567	SLC45A4	7.0	3.0	7.0	10.0	4.0	5.0
ENSG00000022840	RNF10	33.0	25.0	49.0	33.0	36.0	27.0
ENSG00000022976	ZNF839	1.0	1.0	2.0	2.0	0.6	3.0
ENSG00000023041	ZDHHC6	13.0	9.0	6.0	8.0	13.0	11.0
ENSG00000023191	RNH1	12.0	11.0	24.0	44.0	19.0	21.0
ENSG00000023228	NDUFS1	19.0	13.0	9.0	10.0	18.0	14.0
ENSG00000023287	RB1CC1	13.0	14.0	20.0	18.0	17.0	12.0
ENSG00000023318	ERP44	12.0	9.0	29.0	12.0	12.0	10.0
ENSG00000023330	ALAS1	24.0	37.0	18.0	13.0	19.0	9.0
ENSG00000023445	BIRC3	0.4	0.3		0.5	0.2	0.2
ENSG00000023516	AKAP11	3.0	4.0	13.0	10.0	7.0	1.0
